user,text,location,date,topic
IMDb,@hungry87 🎶 You're just too good to be true 🎶,Seattle,2020-01-28 21:25:24,Cinema
IMDb,"@schuky9 @HilarySwank #IMDbFact 🎥 At age seventy-four, Clint Eastwood became the oldest Best Director Oscar winner for this movie.",Seattle,2020-01-28 21:20:43,Cinema
IMDb,"@kiddokiki @HilarySwank #IMDbFact 🥊 Hilary Swank won the Best Actress Oscar for her performance in this movie, making her the first actress to win an Oscar for the portrayal of a boxer.",Seattle,2020-01-28 21:18:46,Cinema
IMDb,@CardsNation1989 @elijahwood #IMDbFact 🎞 It was on the set of The Faculty (1998) that Harry Jay Knowles first got wind of Peter Jackson making The Lord of the Rings into a movie. He urged Elijah Wood to go for it even though the actor had never read the book.,Seattle,2020-01-28 21:15:45,Cinema
IMDb,@megamuffincore Us supporting this idea https://t.co/3cdxSSb2LZ,Seattle,2020-01-28 20:54:02,Cinema
IMDb,We explore how Doctor Doom and Black Panther could come to blows in #BlackPantherII. #MCU #IMDbrief https://t.co/9HgPscbaVm,Seattle,2020-01-28 19:01:17,Cinema
IMDb,Happy #NationalLegoDay! What movie would you love to see in Lego form? #EverythingIsAwesome https://t.co/WXn45PXpRP,Seattle,2020-01-28 13:03:03,Cinema
IMDb,"Happy birthday, @elijahwood! Out of his 109 acting credits, the #LordoftheRings trilogy and 'Wilfred' are our favorite roles. What's yours? https://t.co/rR5FhO241c https://t.co/G9gvS8SHwU",Seattle,2020-01-28 11:00:49,Cinema
IMDb,"In celebration of the 15th anniversary of #MillionDollarBaby, we take a look back at Clint Eastwood's four-time Oscar-winning film, starring Eastwood, @HilarySwank, and Morgan Freeman. https://t.co/dVNDhuKNFi https://t.co/fUHZuW6Tmo",Seattle,2020-01-28 09:01:23,Cinema
IMDb,"Nicholas Braun, aka #CousinGreg, talks about what it's like to play the most relatable member of the Hirsch family in #Succession. #Sponsored by @Acura https://t.co/hDvxQV0e9u",Seattle,2020-01-27 23:00:23,Cinema
IMDb,@BreakingBad We don't play favorites,Seattle,2020-01-27 21:31:44,Cinema
IMDb,@netflix OMG GLEEKING OUT RN 😱,Seattle,2020-01-27 21:31:26,Cinema
IMDb,@hulu Movies &amp; TV... duh 🤷‍♀️,Seattle,2020-01-27 21:31:12,Cinema
IMDb,Name a song in a movie that takes a scene to the next level.,Seattle,2020-01-27 21:00:00,Cinema
