user,text,location,date,topic
THR,Apple's services business grew to $12.7 billion in revenue during the final three months of 2019 https://t.co/8HOZqhnViG,"Hollywood, CA",2020-01-28 21:49:45,Cinema
THR,"HBO's six-part documentary tells the wild and wacky story of the rigging of the McDonald's Monopoly game in the '90s, complete with a cast of unbelievable real-life characters. Read the review of 'McMillion$': https://t.co/hxhGWlLTS4","Hollywood, CA",2020-01-28 21:45:06,Cinema
THR,CBS and Fox are leading the broadcast networks in ratings halfway the 2019-20 season. Get the full breakdown from @rickporter: https://t.co/Oks1Rv6PY1,"Hollywood, CA",2020-01-28 21:44:39,Cinema
THR,"Jack Burns, one of the original writers for 'The Muppet Show' and a comedy partner to George Carlin, has died at age 86 https://t.co/4Q8pTuYpT7","Hollywood, CA",2020-01-28 21:35:28,Cinema
THR,"""He was a guy who always showed up."" Actress and longtime Lakers fan Dyan Cannon recalls her friendship with the Kobe Bryant https://t.co/b0DM0koibk","Hollywood, CA",2020-01-28 21:34:44,Cinema
THR,"An artist has sued Disney, Pixar and Onward producer Kori Rae for allegedly conspiring to secretly create an animated doppelgänger of her one of a kind van without permission https://t.co/uOUY6KBsse","Hollywood, CA",2020-01-28 21:30:02,Cinema
THR,"Zazie Beetz, Timothée Chalamet, Will Ferrell, @GalGadot, @mindykaling, Julia Louis-Dreyfus (@OfficialJLD) and more will present at the #Oscars. See all the names (so far): https://t.co/qykRmVHJrC","Hollywood, CA",2020-01-28 21:11:55,Cinema
THR,"""Tonight we come together to celebrate music."" Legends like Carlos Santana joined rising stars Adrienne Warren and Khalid at Clive Davis' annual #Grammys bash held amid Recording Academy controversy https://t.co/3XgXcMba4z","Hollywood, CA",2020-01-28 20:56:53,Cinema
THR,"The remaining bodies from the Calabasas helicopter crash that killed Kobe Bryant and his 13-year-old daughter, Gianna, have been recovered, the Los Angeles County Department of Medical Examiner-Coroner announced https://t.co/QzHCDmGGFM","Hollywood, CA",2020-01-28 20:44:10,Cinema
THR,"Fox orders drama pilot #TheBigLeap, from #ThePassage showrunner Liz Heldens https://t.co/1W6d4rdslt https://t.co/h7nDnaiiD6","Hollywood, CA",2020-01-28 20:00:01,Cinema
THR,The Academy of Motion Picture Arts &amp; Sciences is planning to honor Kobe Bryant at the Feb. 9 ceremony. https://t.co/Vztg4Ytr59,"Hollywood, CA",2020-01-28 19:32:07,Cinema
THR,Why movie ads are sitting on the sidelines during the #SuperBowl https://t.co/bCvhANiFM2,"Hollywood, CA",2020-01-28 19:26:05,Cinema
THR,Discovery's Kathleen Finch talks offering a safe haven for viewers suffering from news fatigue https://t.co/Y5LwKorT5M,"Hollywood, CA",2020-01-28 19:22:30,Cinema
THR,Priyanka Chopra Jonas (@priyankachopra) may be joining #TheMatrix. She is in negotiations to join 'The Matrix 4.' Details: https://t.co/VdffhBm7xP,"Hollywood, CA",2020-01-28 19:13:26,Cinema
THR,"Lionsgate is in final negotiations to pick up 'Memetic,' a horror thriller about a killer meme, that Seth Rogen will produce. https://t.co/HS97TG73tc","Hollywood, CA",2020-01-28 19:01:57,Cinema
THR,"'Piedra sola,' Alejandro Telemaco Tarraf's feature debut, shot in rural Argentina, bowed in the main competition at the Rotterdam Film Festival. Read THR's review calling it ""a transcendent but frustrating cinematic experience."" https://t.co/LUb2lZoctW","Hollywood, CA",2020-01-28 18:46:08,Cinema
THR,"Ken Ehrlich, the longtime producer of the #Grammys, explains how the Kobe Bryant tribute came together https://t.co/wD9rjeZaxX","Hollywood, CA",2020-01-28 18:42:50,Cinema
THR,"For the second year in a row, there will be fewer movie ads during the Super Bowl. Here's why: https://t.co/QPfHdwzGO4","Hollywood, CA",2020-01-28 18:36:24,Cinema
THR,POW! Entertainment is asking a California federal judge to knock out a suit from Stan Lee’s daughter that it describes as “a grossly selfish and inconsiderate waste” of the court’s time https://t.co/qKSgN3jMU4,"Hollywood, CA",2020-01-28 18:21:43,Cinema
THR,"Joaquin Phoenix, Cynthia Erivo and Tom Hanks will be honored this year by @peta  for being animal-friendly https://t.co/N3cxEaaq80","Hollywood, CA",2020-01-28 17:31:54,Cinema
THR,"The indie drug drama 'Take Out Girl' is getting an assist from hip hop artist $tupid Young, who makes his acting debut in a small role https://t.co/bQ8GbSAwXI","Hollywood, CA",2020-01-28 17:28:42,Cinema
THR,"Alessia Cara emerged with a field-leading six nominations for the 2020 Juno music awards, Canada's version of the #Grammys https://t.co/R0gmzml0S0","Hollywood, CA",2020-01-28 17:27:46,Cinema
THR,"Bad Bunny dropped a new song titled ""6 Rings"" in honor of Kobe Bryant https://t.co/OoWpFHZnxO","Hollywood, CA",2020-01-28 17:27:16,Cinema
THR,It's a #TrueDetective reunion. @nicpizzolatto and Matthew McConaughey are teaming up for a new FX drama. Details: https://t.co/QklmaxSTLw,"Hollywood, CA",2020-01-28 17:17:03,Cinema
THR,"'America's Got Talent: The Champions' finishes as Monday's most-watched show, growing its audience for the second straight week https://t.co/dLRw0jtvhk","Hollywood, CA",2020-01-28 17:13:31,Cinema
THR,'NCIS' fave Pauley Perrette (@PauleyP) is returning to CBS with a comedy called 'Broke.' Here's when to expect it: https://t.co/oX6P3VGzYR https://t.co/xbbmM7oU2h,"Hollywood, CA",2020-01-28 17:12:58,Cinema
THR,#TrueDetective creator Nic Pizzolatto is moving his overall deal from HBO to Fox 21 and FX Productions and he's reuniting with Matthew McConaughey for his first project https://t.co/us5jjvq7KP,"Hollywood, CA",2020-01-28 17:00:29,Cinema
THR,David Letterman is marking the “Oprah-Uma” anniversary with his first extensive interview about it. Here's what he has to say: https://t.co/KcsXomciLu,"Hollywood, CA",2020-01-28 16:48:01,Cinema
THR,"Bob Shane, the last surviving member of The Kingston Trio, died Sunday of complications connected with pneumonia at age 85 https://t.co/lLpaZoWpgr","Hollywood, CA",2020-01-28 16:44:08,Cinema
THR,"The veteran pilot of Kobe Bryant's helicopter had tried to avoid fog so heavy that it had grounded police choppers, authorities said https://t.co/mMKCwhG40X","Hollywood, CA",2020-01-28 16:21:00,Cinema
THR,Jim Jarmusch recorded a special video tribute message ahead of the Rotterdam Film Festival screening of Claire Pijman's documentary 'Living the Light - Robby Müller' about the late Dutch cinematographer. Details: https://t.co/fpHB3UZqfs,"Hollywood, CA",2020-01-28 16:01:39,Cinema
THR,"As Loaded Management's new vp of talent, Bridget Davidson will oversee day-to-day operations for the company's roster of clients https://t.co/BMQxsKdm9r","Hollywood, CA",2020-01-28 16:00:30,Cinema
THR,"David Letterman reflects on ""the single biggest professional embarrassment of my life"" https://t.co/kSZPJKXbnE","Hollywood, CA",2020-01-28 15:49:30,Cinema
THR,"""Let's honor Kobe, Gianna and the other lives that were lost by following his example: Love your family, love your teammates and outwork everyone in the gym."" An emotional Jimmy Fallon dedicated a portion of his monologue to Kobe Bryant https://t.co/IQEihUL747","Hollywood, CA",2020-01-28 15:38:05,Cinema
THR,"Christopher ""Kit"" Hood, the co-creator of the long-running Canadian #Degrassi TV franchise, which launched the young acting careers of @Drake, @NinaDobrev and @ShenaeGrimes, has died. https://t.co/PrZVfnCpnh","Hollywood, CA",2020-01-28 15:12:56,Cinema
THR,A source says that Harvey Weinstein's hotel room was damaged due to smoke and his rep confirmed that he did puff on cigarettes inside but nothing more https://t.co/Xe1NCyg8S4,"Hollywood, CA",2020-01-28 15:00:19,Cinema
THR,"There's more than a hint of early eighties Tom Cruise about Argentinian newcomer Juan Pablo Cestaro who stars in writer-director Marco Berger's 'Young Hunter,' premiering in the Big Screen Competition at the Rotterdam Film Festival. Read THR's review: https://t.co/ebrRxpxLCe","Hollywood, CA",2020-01-28 14:20:22,Cinema
THR,"""My personality was attacking itself."" David Letterman opens up for the first time in a deep-dive forensic comedy analysis of how and why his 1995 #Oscars emcee gig bombed https://t.co/nOdXMWtJd1","Hollywood, CA",2020-01-28 14:00:29,Cinema
THR,"""I put out my hand and he pulled me in for a hug."" Glen Keane, the legendary Disney animator who helped Kobe Bryant make 'Dear Basketball,' writes about their first meeting https://t.co/0fcIMdRNI7","Hollywood, CA",2020-01-28 14:00:17,Cinema
THR,"""We will see what happens."" The new #TheLWord showrunner talks Laurel Holloman’s involvement in 'Generation Q' https://t.co/yfUfdu1koS","Hollywood, CA",2020-01-28 11:46:07,Cinema
THR,CBS is moving forward with Queen Latifah (@IAMQUEENLATIFAH)'s #TheEqualizer https://t.co/NetEVVHDM8,"Hollywood, CA",2020-01-28 11:16:07,Cinema
THR,Why Bong Joon Ho is making a pit stop in Rotterdam during #Oscars season https://t.co/QyCyafchJF,"Hollywood, CA",2020-01-28 10:45:07,Cinema
THR,Comedy Central hit a multiyear ratings high with the series premiere of #NorafromQueens https://t.co/adsVk54Iqb,"Hollywood, CA",2020-01-28 10:13:07,Cinema
THR,Why James Corden (@JKCorden) called out Bill Maher's fat-shaming comments https://t.co/bhv9h4h0I8,"Hollywood, CA",2020-01-28 09:49:06,Cinema
THR,"The Japanese box office jumped more than 17 percent to a record $2.39 billion in 2019, with admissions up more than 15 percent to 194,910, the highest attendance since 1971. Hollywood films had their best showing since 2004 with $1.1 billion. Details: https://t.co/yfbIhaSqdR","Hollywood, CA",2020-01-28 09:27:44,Cinema
THR,"Josie Totah (@josietotah) and original series veterans Mario Lopez (@mariolopezviva), Elizabeth Berkley (@ElizBerkley) and Mark-Paul Gosselaar head the ensemble for #PeacockTV's #SavedByTheBell revival https://t.co/ebbVIX7n0e","Hollywood, CA",2020-01-28 09:17:05,Cinema
THR,Anne Hathaway plays a reporter stuck in an arms deal gone wrong in Dee Rees' adaptation of Joan Didion's 'The Last Thing He Wanted.' Read THR’s Sundance review: https://t.co/Bx7Kjmougr,"Hollywood, CA",2020-01-28 09:00:58,Cinema
THR,"Apple and A24 have acquired worldwide rights to the documentary 'Boys State,' a political coming-of-age story, examining the health of American democracy https://t.co/Nu9Hjy2pN9","Hollywood, CA",2020-01-28 08:44:09,Cinema
THR,Genre filmmakers at the International Film Festival Rotterdam discussed unorthodox funding techniques and hiding subconscious desires in their work. Read about their experiences: https://t.co/IcgS92m5rK,"Hollywood, CA",2020-01-28 08:20:32,Cinema
THR,"""I'll be real honest, it would be extremely meaningful."" Julia Reichert, a four-time nominee now battling terminal cancer, opens up about possibly winning an #oscars trophy for 'American Factory' https://t.co/7ohjXAA7WN","Hollywood, CA",2020-01-28 08:16:06,Cinema
THR,"""You cannot forget what most people’s lives are like. You cannot forget how f—ing hard it is."" James Corden (@JKCorden) opened up about his decision to call out Bill Maher's fat-shaming comments in a profile in 'The New Yorker' https://t.co/RFTNQWoHWs","Hollywood, CA",2020-01-28 07:48:03,Cinema
THR,What the upcoming #DisneyPlus Obi-Wan Kenobi series can borrow from '#StarWars: The Clone Wars' https://t.co/qnN1GzQcrs,"Hollywood, CA",2020-01-28 07:17:02,Cinema
THR,"""The best film about the wages of aging since 'Amour' eight years ago, 'The Father' takes a bracingly insightful, subtle and nuanced look at encroaching dementia"" https://t.co/eOB4GX0vyF #Sundance","Hollywood, CA",2020-01-28 06:48:40,Cinema
THR,A new #Transformer movie is in the works https://t.co/JcITOhKQhB,"Hollywood, CA",2020-01-28 06:48:06,Cinema
THR,Breaking down the best picture odds at the #Oscars https://t.co/tWersBEi7j,"Hollywood, CA",2020-01-28 06:15:05,Cinema
THR,Lance Armstrong gets the ESPN '30 for 30' treatment in a two-part Marina Zenovich documentary. Read the review for 'Lance': https://t.co/k1Nb44etjc #Sundance,"Hollywood, CA",2020-01-28 06:00:13,Cinema
THR,"The previous record for the largest documentary sale at #Sundance was 2019's 'Knock Down the House,' which sold for $10 million https://t.co/BHhHUP7qSk","Hollywood, CA",2020-01-28 05:52:24,Cinema
THR,The 'Palm Springs' deal breaks a record for the biggest sale ever at #Sundance by 69 cents https://t.co/DcmiLADjpo,"Hollywood, CA",2020-01-28 05:47:41,Cinema
THR,Bong Joon Ho is heading to the International Film Festival Rotterdam to present the world premiere of a new black-and-white version of #Parasite https://t.co/7IDjD8Vb6z,"Hollywood, CA",2020-01-28 05:45:04,Cinema
THR,The Tonight Show's @FallonTonight was teary-eyed when he dedicated a portion of his monologue to Kobe Bryant https://t.co/479IVQAvd6,"Hollywood, CA",2020-01-28 05:12:39,Cinema
THR,Several artists made political statements on the red carpet at the #Grammys. Take a look: https://t.co/5i1EweynKs #THRNews https://t.co/rKbLDsfJlP,"Hollywood, CA",2020-01-28 05:12:00,Cinema
THR,An emotional Jimmy Kimmel dedicated his entire one-hour episode show Monday night to pay tribute to the late Kobe Bryant https://t.co/IRgFOfuZV8,"Hollywood, CA",2020-01-28 04:57:18,Cinema
THR,"Two THR critics, @inkookang and @RobynBahr, discuss what makes Showtime series #WorkInProgress so excellent and distinct https://t.co/6Qa5ZTgkZ9","Hollywood, CA",2020-01-28 04:46:05,Cinema
THR,Here's all the ways the #Grammys paid tribute to Kobe Bryant https://t.co/wGfJvCOGIp #THRNews https://t.co/fJKkrSDKle,"Hollywood, CA",2020-01-28 04:17:00,Cinema
THR,As players launch 'NBA 2K20' they are greeted by a picture of Kobe Bryant with the dates of his life listed below his image https://t.co/Jx3yD5GsCz,"Hollywood, CA",2020-01-28 03:47:03,Cinema
THR,Writer John Musero can proceed with his lawsuit alleging his former CAA agent redeveloped his pilot script for 'Main Justice' with another writer client without his knowledge or permission https://t.co/TYmfaROFJI,"Hollywood, CA",2020-01-28 03:24:22,Cinema
THR,Everything you need to know about Adam Driver's third turn hosting #SNL https://t.co/kLBapRZYSD #THRNews https://t.co/2Zl71sGkHA,"Hollywood, CA",2020-01-28 03:15:00,Cinema
THR,"""Man I love you big bro,"" LeBron James wrote on Instagram on Monday https://t.co/5SlqRpEkep","Hollywood, CA",2020-01-28 03:10:35,Cinema
THR,Sony Pictures Classics has acquired worldwide rights to Michael Dweck and Gregory Kershaw's documentary #TheTruffleHunters https://t.co/JSE75XC1e3,"Hollywood, CA",2020-01-28 03:05:06,Cinema
THR,"Billie Eilish left the 2020 #Grammys as the night's big winner, though she was also one of the night's attendees to win over social media https://t.co/fydn8R9j9I","Hollywood, CA",2020-01-28 02:45:05,Cinema
THR,"""I have a little brother but I really lost a brother yesterday"" https://t.co/asLyEqDiYE","Hollywood, CA",2020-01-28 02:26:04,Cinema
THR,Not so bad. @billieeilish made #Grammys history last night. Details: https://t.co/RXZSp41jZv #THRNews https://t.co/ljhO4dRxCd,"Hollywood, CA",2020-01-28 02:18:00,Cinema
THR,"Tessa Thompson (@TessaThompson_x) and Nnamdi Asomugha play star-crossed lovers passionate about jazz in late-'50s/early-'60s New York in Eugene Ashe's second feature, 'Sylvie's Love' https://t.co/vcwLFmlAG7","Hollywood, CA",2020-01-28 01:50:20,Cinema
THR,"CBS has handed out a formal pilot pickup to its reboot of #TheEqualizer, starring Queen Latifah (@IAMQUEENLATIFAH) https://t.co/N8AKkHR3N8","Hollywood, CA",2020-01-28 01:45:07,Cinema
THR,"National Transportation Safety Board member Jennifer Homendy said at a press conference about the helicopter crash on Monday that there was ""no criminal portion of this investigation"" even though the FBI is assisting https://t.co/KOQmRsmA5J","Hollywood, CA",2020-01-28 01:17:59,Cinema
THR,"Kobe Bryant and Brazilian writer Paulo Coelho were working together on a children's book, but the deleted the draft after Bryant's death in a helicopter crash https://t.co/B8cuKBTX5m","Hollywood, CA",2020-01-28 00:59:42,Cinema
THR,"At Los Angeles' Vineyard and Pickford Streets, a mural was unveiled on Monday in tribute to Kobe Bryant and his daughter, Gianna https://t.co/LncyV0eKiV","Hollywood, CA",2020-01-28 00:38:39,Cinema
THR,"From a moment of silence for Kobe Bryant to the ""BongHive,"" go inside the #Oscars nominees luncheon https://t.co/EuHuAipZI8","Hollywood, CA",2020-01-28 00:18:58,Cinema
THR,"""The Los Angeles Lakers would like to thank all of you for the tremendous outpouring of support and condolences. This is a very difficult time for all of us."" The Lakers released their first statement about Kobe Bryant's death https://t.co/qM6GVMJZ2P","Hollywood, CA",2020-01-27 23:51:21,Cinema
THR,"Hillary Clinton, Taylor Swift, Glenn Close, Ethan Hawke and Lena Waithe were among those at #Sundance. Take a look at all the stars that Park City: https://t.co/h2P0NZ3k2T","Hollywood, CA",2020-01-27 23:50:09,Cinema
THR,New York plans to remember Kobe Bryant on Monday by lighting the Empire State Building purple and gold https://t.co/cd6mi6asqZ,"Hollywood, CA",2020-01-27 23:20:15,Cinema
THR,"Emily Mortimer, Robyn Nevin and Bella Heathcote play three generations of women whose family home is ruled by a sinister presence in Natalie Erika James' unsettling debut. Read the review of 'Relic': https://t.co/eCzfXEDq4D #Sundance","Hollywood, CA",2020-01-27 23:18:15,Cinema
THR,Sinclair Broadcast Group has settled the lawsuit stemming from its failed $3.9 billion takeover of Tribune Media https://t.co/OykKbYjjmJ,"Hollywood, CA",2020-01-27 23:02:13,Cinema
THR,"""The decision was made out of respect for the Lakers organization, which is deeply grieving the tragic loss of Lakers legend Kobe Bryant, his daughter Gianna and seven other people in a helicopter crash on Sunday."" NBA on postponing tomorrow's Lakers game https://t.co/yJp8lNLDYY","Hollywood, CA",2020-01-27 23:01:52,Cinema
THR,The National Basketball Association has postponed the first Los Angeles Lakers game following former player Kobe Bryant's shocking death https://t.co/0QarMDnY6H,"Hollywood, CA",2020-01-27 23:00:34,Cinema
THR,"Paramount and Hasbro are rebuilding #Transformers, hiring not one but two writers to pen scripts for the multi-billion dollar franchise https://t.co/KpXJNOizxk","Hollywood, CA",2020-01-27 23:00:14,Cinema
THR,"The mother of ""Success Kid"" is threatening to sue Rep. Steve King for using her son's meme in his campaign fundraising efforts and claims people may be ""repelled"" by her son's perceived association with him https://t.co/z0I9ayArns","Hollywood, CA",2020-01-27 22:55:51,Cinema
