user,text,location,date,topic
CNNBusiness,"Ben Smith, the former political blogger who built BuzzFeed News into a digital powerhouse, has announced that he is leaving the website and joining The New York Times as the newspaper's media columnist https://t.co/LBn9vSMuGe",Global,2020-01-28 21:45:06,Finance
CNNBusiness,"US stocks finished higher Tuesday, rebounding after concerns about the coronavirus sparked a sharp selloff yesterday.

The Dow closed 187 points, or 0.7%, higher. The S&amp;P 500 finished up 1%. The Nasdaq Composite closed up 1.4%. https://t.co/oLIDhQ9KEM",Global,2020-01-28 21:30:12,Finance
CNNBusiness,"Facebook, Ford and other high-profile companies have told their employees not to travel to China as the deadly coronavirus continues to spread https://t.co/YPsX1tsSXK",Global,2020-01-28 21:15:05,Finance
CNNBusiness,"Industrial conglomerate 3M is laying off 1,500 workers globally as the company looks to restructure. https://t.co/AW3boO01TO",Global,2020-01-28 21:00:09,Finance
CNNBusiness,"The British government said Tuesday that it will allow China's Huawei to help build the country's next generation of super-fast wireless networks, a decision that could undermine trade and intelligence ties with the United States. https://t.co/qaCJwCGA2Z",Global,2020-01-28 20:45:08,Finance
CNNBusiness,"Starting this week, McDonald's is selling its Chicken McGriddles and McChicken Biscuit sandwiches nationally for a limited time. They were previously available only in some regional markets. https://t.co/7TGHPjTPA0",Global,2020-01-28 20:30:09,Finance
CNNBusiness,US airlines are giving customers more time to change their flights to China without incurring fees https://t.co/4wuL1O70sq,Global,2020-01-28 20:15:09,Finance
CNNBusiness,"President Trump praised Mike Pompeo for berating an NPR reporter, saying the secretary of state ""did a good job on her."" CNN's @kylieatwood reports. https://t.co/zJhbqnyeeg https://t.co/PmUJVpk5VD",Global,2020-01-28 20:00:00,Finance
CNNBusiness,United Airlines is temporarily reducing its schedule between the United States and three cities in China in light of the Wuhan virus https://t.co/EHb0Onqdhb,Global,2020-01-28 19:45:06,Finance
CNNBusiness,"After fewer than three months at the helm of the company, McDonald's CEO Chris Kempczinski will address investors and analysts during the first earnings call of his tenure on Wednesday. The pressure is on after his predecessor's abrupt exit. https://t.co/diWMVC6Wtd",Global,2020-01-28 19:30:01,Finance
CNNBusiness,"Huawei has been granted a limited role in building Britain's 5G network, allowing the company to maintain its presence in a crucial market despite US efforts to rein in its growth https://t.co/yiM1T0nvS2",Global,2020-01-28 19:15:08,Finance
CNNBusiness,"Atari, perhaps best known for 1970s video games and money problems, is opening its own chain of branded hotels. They'll feature spaces for virtual and augmented reality, studios to stream games and venues for esports events, according to a press release. https://t.co/DbjW1QkGJF",Global,2020-01-28 19:00:15,Finance
CNNBusiness,"Nearly 700,000 Americans could lose food stamps under a Trump administration regulation that will require more food stamp recipients to work in order to receive benefits https://t.co/7eYaafSOCm https://t.co/QJCVLlJ5ZB",Global,2020-01-28 18:45:06,Finance
CNNBusiness,Several major American companies with big investments in China are preparing themselves for potential disruption from the spread of the deadly Wuhan virus https://t.co/tHyXVFvpoh,Global,2020-01-28 18:30:13,Finance
CNNBusiness,A man brought a Rolex watch he purchased in 1974 for $345.97 to an antiques show to find out its current value. His reaction: priceless. https://t.co/iLz5VCzd4i,Global,2020-01-28 18:15:08,Finance
CNNBusiness,The State Department has yet to explain or defend its highly unusual decision to remove an NPR reporter from an upcoming trip by Secretary of State Mike Pompeo at a time when Pompeo is fuming about the public radio network https://t.co/VcZZe04HOs,Global,2020-01-28 18:00:12,Finance
CNNBusiness,"Lucky's Market, the niche grocery chain that bills itself as ""organic for the 99%,"" has filed for bankruptcy protection, the latest in a string of grocery store bankruptcies https://t.co/blArrzTBzC",Global,2020-01-28 17:45:06,Finance
CNNBusiness,"On Monday night, Jimmy Kimmel restructured his entire late-night show for a tribute episode to the late Kobe Bryant. The athlete had appeared on the show 15 times. https://t.co/RXxsdh7Rec https://t.co/VY48RtFjVd",Global,2020-01-28 17:30:15,Finance
CNNBusiness,"UK mobile operators will be able to use Huawei equipment in their 5G networks, a decision that could undermine trade and intelligence ties with the US. CNN's @Hadas_Gold has more. https://t.co/oXgxTstszR https://t.co/FP4ltV9kxK",Global,2020-01-28 17:15:00,Finance
CNNBusiness,"United States Customs and Border Protection officers seized $900,000 in counterfeit $1 bills from a commercial rail shipment from China https://t.co/ayuNGjwQES",Global,2020-01-28 17:00:14,Finance
CNNBusiness,Cannabis dispensary operator MedMen Enterprises has fallen behind on payments to vendors and is working with a business advisory firm to settle its debts — including offering stock as payment https://t.co/TMLZWUY7kn,Global,2020-01-28 16:45:09,Finance
CNNBusiness,"""We don't have a studio audience here tonight because going forward with a comedy show didn't feel right considering what happened yesterday,"" Jimmy Kimmel said on his late night show in a monologue that focused on mourning the death of Kobe Bryant https://t.co/9sqZjEYsTz",Global,2020-01-28 16:30:20,Finance
CNNBusiness,Uber Eats has lost the exclusive rights to make about 15 million McDonald's deliveries each year in the UK https://t.co/LYWs0Bfwk4,Global,2020-01-28 16:15:07,Finance
CNNBusiness,"MacKenzie Bezos has unloaded about $370 million worth of her Amazon shares. She received about 19.7 million shares of Amazon, equal to 4% of Amazon's total shares outstanding, under her divorce agreement last year with Amazon CEO Jeff Bezos. https://t.co/gr72ec05Gs",Global,2020-01-28 16:00:08,Finance
CNNBusiness,A major federal employees union has filed for a preliminary injunction against government-wide guidance issued in 2018 that prohibits federal employees from sharing their opinions about the President's impeachment https://t.co/dRp57UQ8e1,Global,2020-01-28 15:45:07,Finance
CNNBusiness,"The maker of Barbie dolls has released new designs to broaden its diversity, including a doll with no hair and one with the skin condition vitiligo https://t.co/yTJCxjck0j",Global,2020-01-28 15:30:29,Finance
CNNBusiness,Shares of Harley-Davidson fell 3% in early trading Tuesday after the company reported sales and earnings that missed Wall Street's forecasts. The stock is now down more than 10% this year. https://t.co/Li9t3uekkS,Global,2020-01-28 15:16:59,Finance
CNNBusiness,"At a time when people are becoming more conscious of what they can do to minimize their environmental impact, travel companies have responded by rethinking their long-standing reliance on single-use plastic amenities https://t.co/AycVi9RDiE",Global,2020-01-28 15:01:15,Finance
CNNBusiness,"Apple is right to stand firm in its position that re-engineering iPhones so law enforcement can unlock the devices could put user data at risk, writes Andrew Grotto for @CNNBusiness Perspectives https://t.co/UiBlN0NDyU",Global,2020-01-28 14:39:21,Finance
