user,text,location,date,topic
TheEconomist,"Chinese leaders insist that one-party rule is vital for stability. The world will soon judge if it can stop a pandemic, too https://t.co/nPgacVkUv5",London,2020-01-31 09:49:11,Finance
TheEconomist,How a Ugandan hospital delivers health insurance through burial groups https://t.co/ONvHaGNC8p,London,2020-01-31 09:33:36,Finance
TheEconomist,RT @DSORennie: It’s too simple to assume that all crises in China weaken Xi Jinping. But this is a test of his claim to rule as a uniquely…,London,2020-01-31 09:17:31,Finance
TheEconomist,Clayton Christensen’s insights will outlive him https://t.co/fprf46p4u9,London,2020-01-31 09:14:50,Finance
TheEconomist,There is more to a butterfly’s wing than meets the eye https://t.co/Etsd0k0uwN,London,2020-01-31 08:55:47,Finance
TheEconomist,Xi Jinping has a great deal at stake in the coronavirus crisis https://t.co/fa9E0DBJsM,London,2020-01-31 08:37:14,Finance
TheEconomist,The crisis will probably dent global economic growth. It might have a more lasting effect on the reputation of China's Communist Party https://t.co/ktWPepc3FI,London,2020-01-31 08:20:43,Finance
TheEconomist,China’s response to the coronavirus has been unmistakably authoritarian https://t.co/pmk9BoxYeG,London,2020-01-31 08:05:41,Finance
TheEconomist,Yield-curve control could prove a useful tool in the next recession https://t.co/hx4FKyW1mJ,London,2020-01-31 07:46:37,Finance
TheEconomist,Britain should now make the most of the chance to recalibrate the economy and reset its priorities https://t.co/ErO4DgMEg1,London,2020-01-31 07:26:58,Finance
TheEconomist,Worker representation is a German invention that has spread throughout Europe—but the practice has generally not caught on further afield https://t.co/CiJB4bTJvR,London,2020-01-31 07:08:03,Finance
TheEconomist,Tens of thousands of Britons are members of outdoor swimming societies. Are they mad? Or are there benefits of a chilly dip? https://t.co/nKOvYUOfv6 https://t.co/x5UdLwY8wC,London,2020-01-31 07:00:36,Finance
TheEconomist,Britain's future is full of uncertainty. Boris Johnson must now look to liberalism and build a system open to all comers https://t.co/kP3NxwnesZ,London,2020-01-31 06:50:45,Finance
TheEconomist,The best that can be said of the Trump plan is that it acknowledges the Oslo peace process is moribund and a new approach is needed https://t.co/6t7f1QysMJ,London,2020-01-31 06:32:01,Finance
TheEconomist,What can Britain's prime minister learn from a Silicon Valley chipmaker? Probably not much https://t.co/Cb56O0vOKB,London,2020-01-31 06:12:54,Finance
TheEconomist,"With its fantastical setting, plot twists and interventions by supernatural beings, “The Good Place” often seems to hark back to classical antiquity https://t.co/XcmniyqrYL",London,2020-01-31 05:54:07,Finance
TheEconomist,Assessing Elizabeth Warren and Bernie Sanders in Iowa https://t.co/eIwsulJkOa,London,2020-01-31 05:35:15,Finance
TheEconomist,Tesla is proving itself as a carmaker https://t.co/ORgOSUR3in,London,2020-01-31 05:16:18,Finance
TheEconomist,The ECB considers counting owner-occupied housing in inflation https://t.co/nQ9bquPJMk,London,2020-01-31 04:58:03,Finance
TheEconomist,"Bolsa Família, Brazil’s admired anti-poverty programme, is flailing https://t.co/DV0lpGfxaH",London,2020-01-31 04:40:53,Finance
TheEconomist,KAL’s cartoon https://t.co/Xi9OQOBYmr,London,2020-01-31 04:24:41,Finance
TheEconomist,"Under ranked-choice voting, left-wing purism would aid Joe Biden https://t.co/rLTEkGrER4",London,2020-01-31 04:03:28,Finance
TheEconomist,China’s prime minister was appointed to oversee virus-control work. Cynics suggested that Xi Jinping needed a potential scapegoat https://t.co/06RriCdVQb,London,2020-01-31 03:46:03,Finance
TheEconomist,"The spread of the coronavirus is a giant test for an authoritarian, one-party political system designed in a simpler China https://t.co/H9r0PoJXOv",London,2020-01-31 03:38:59,Finance
TheEconomist,Tough quarantine measures have spread across China https://t.co/LMr1o287Ie,London,2020-01-31 03:22:47,Finance
TheEconomist,In 2016 America's suicide rate was 25% higher in rural and less-populated counties than in more populous ones  https://t.co/5PQINmlHRv,London,2020-01-31 03:03:51,Finance
TheEconomist,"In a ranked-choice primary, Joe Biden would narrowly beat Elizabeth Warren https://t.co/CWKGUgcXJb",London,2020-01-31 02:48:06,Finance
TheEconomist,Some health experts think airport checks are a waste of resources https://t.co/OJ1VKnhhMc,London,2020-01-31 02:31:51,Finance
TheEconomist,The world has never responded so rapidly to a disease as it has to the Wuhan virus. Much hinges on slowing the virus's spread https://t.co/FBwjOtCSpz,London,2020-01-31 02:15:45,Finance
TheEconomist,"By the age of three, children from professional families will have 30m more words spoken to them than children from poorer backgrounds. Supported by @Mishcon_de_Reya https://t.co/ma9yOTv9dZ https://t.co/oPGEtKUynn",London,2020-01-31 02:00:40,Finance
TheEconomist,"Democracy scores for China, Malta and Hong Kong deteriorated https://t.co/P0YnSOc7hk",London,2020-01-31 01:56:06,Finance
TheEconomist,Every Democratic primary candidate who has won Iowa since 2000 has gone on to become the party’s nominee https://t.co/md9zQJ6Z2c,London,2020-01-31 01:40:28,Finance
TheEconomist,Roman Polanski spent 40 minutes getting the perfect close-up of an ant crawling over Jack Nicholson’s face https://t.co/BHwJDn0AY1,London,2020-01-31 01:24:32,Finance
TheEconomist,"The spine of the story remains intact, yet Armando Iannucci’s choices along the way may have purists grinding their teeth https://t.co/pEgezniIdo",London,2020-01-31 01:07:42,Finance
TheEconomist,Those who made it home to Weiji before coronavirus controls were imposed must submit to temperature checks twice a day and remain indoors https://t.co/zIf5awwemI,London,2020-01-31 00:46:33,Finance
TheEconomist,Suicide is the tenth-biggest cause of death in the United States—deadlier than traffic accidents and homicide https://t.co/iLAKyI09ND,London,2020-01-31 00:28:22,Finance
TheEconomist,"Until the late 20th century British artists represented gestation obliquely, if at all. Pregnancy was a subject of strange shame https://t.co/2hlst5lEVP",London,2020-01-31 00:10:36,Finance
TheEconomist,"If Israel annexes large parts of the West Bank, it would become all but impossible to create a coherent Palestinian state https://t.co/gFNj7ZTj9x",London,2020-01-30 23:50:03,Finance
TheEconomist,This week's cartoon from KAL: https://t.co/PI0gLa1ye7,London,2020-01-30 23:30:19,Finance
TheEconomist,China has implemented the biggest quarantine in history. Will it work? https://t.co/XmDA0Chbkw,London,2020-01-30 23:06:29,Finance
TheEconomist,The child geniuses who could transform tomorrow’s world are already out there. How can they be discovered? https://t.co/bKvs6DXj9u https://t.co/Z2nJ2njBDc,London,2020-01-30 23:02:30,Finance
TheEconomist,"RT @DSORennie: My report from the border of the quarantine zone in Hubei, and a China that is at once mobilised in a great national endeavo…",London,2020-01-30 23:01:31,Finance
TheEconomist,Iowa can serve either as a presidential campaign's launchpad or as its crash site https://t.co/HuoZ5lTsvX,London,2020-01-30 22:48:39,Finance
TheEconomist,"Today on “The Intelligence”: the perils and costs of China’s coronavirus lockdown, a do-or-die decade for oil majors and why Mongolia’s winters are growing deadlier https://t.co/tgRcSawZE5",London,2020-01-30 22:28:04,Finance
