user,text,location,date,topic
TheEconomist,On “Money Talks”: How the Wuhan virus could hurt China’s economic growth; the battle to fix India’s “stagflation” problem; and lessons from the “father of disruptive innovation https://t.co/FDwx6zr1Cl,London,2020-01-28 21:34:19,Finance
TheEconomist,"If you spent five minutes reading about every Jewish victim of the Holocaust, it would fill every waking hour for 90 years https://t.co/xD9aeHTayx",London,2020-01-28 21:31:20,Finance
TheEconomist,"Narendra Modi's Hindu-nationalist policies discriminate against India's Muslims. They also distract attention from awkward topics, such as the economy https://t.co/EWE0vf1v9k",London,2020-01-28 21:12:06,Finance
TheEconomist,How can modern gender sensitivities be imported into a language that is plainly unsuited to them? https://t.co/yS4d8IFmgU,London,2020-01-28 21:00:07,Finance
TheEconomist,"Richer countries tend to have carefully engineered roads, diligent police, well-maintained cars and not many teenagers https://t.co/K5n9s7Ap05",London,2020-01-28 21:00:06,Finance
TheEconomist,"Matteo Salvini suffered a personal blow thanks to the ""Sardine"" movement   https://t.co/cuLgS44lCo",London,2020-01-28 20:59:08,Finance
TheEconomist,What are China's motives for building expensive ports in foreign countries? https://t.co/TBkqh85yDG,London,2020-01-28 20:50:18,Finance
TheEconomist,Discover a richer perspective on the global trends shaping your future with The Economist. Enjoy a 12-week subscription and receive a free notebook https://t.co/6UPIDL0mhN https://t.co/b9OvxJAkFy,London,2020-01-28 20:34:11,Finance
TheEconomist,"In July 2019 Nicolas Pelham, The Economist’s Middle East correspondent, was detained by Iran’s Revolutionary Guards for seven weeks, but was given freedom to roam Tehran. Now he reveals his astonishing experience https://t.co/8uRyqOaBEl From @1843mag",London,2020-01-28 20:33:11,Finance
TheEconomist,The most profound shift in American poverty is that it is beginning to concentrate in the suburbs  https://t.co/3kbMrU65GJ,London,2020-01-28 20:20:37,Finance
TheEconomist,Today’s super-rich are putting record sums into tackling the world’s most pressing problems. But how altruistic is this golden age of giving? Supported by @Mishcon_de_Reya https://t.co/heT06p9Dxv,London,2020-01-28 20:00:06,Finance
TheEconomist,"China is now the second largest contributor to the UN, after America https://t.co/0BIGvAEGVT",London,2020-01-28 19:46:36,Finance
TheEconomist,"“It was like looking through a keyhole and seeing a world beyond. And I was trying to get into that world. I was fascinated by it.”

Our Middle East correspondent tells @AnneMcElvoy about the seven weeks he spent detained in Iran, on “The Economist Asks” https://t.co/s3PdbJHQWL https://t.co/XG6zriJ0pI",London,2020-01-28 19:29:50,Finance
TheEconomist,The most profound shift in American poverty is that it is beginning to concentrate in the suburbs  https://t.co/M658E7r9jG,London,2020-01-28 19:29:48,Finance
TheEconomist,"Reducing economic distress for America's lowest-paid workers may have life-saving effects, a new study says https://t.co/inlIiANlui https://t.co/LVnN7zXAbf",London,2020-01-28 19:11:19,Finance
TheEconomist,Why success stories such as Harry’s razors give multinationals the heebie-jeebies https://t.co/nhhytBJmGd,London,2020-01-28 18:51:01,Finance
TheEconomist,People can now be identified at a distance by their heartbeat https://t.co/Sos7agIfJJ,London,2020-01-28 18:32:25,Finance
TheEconomist,"Many Europeans are content to keep paying ""church taxes"". But why do the godless choose to fund a faith? https://t.co/5wO5yMQq19",London,2020-01-28 18:13:01,Finance
TheEconomist,Matteo Salvini has emerged bloodied from Italy’s latest political scrap. He has yet to be counted out https://t.co/4TNBMhFkQk,London,2020-01-28 17:57:48,Finance
TheEconomist,My summer as a guest of Iran’s Revolutionary Guards https://t.co/fvgmTKcb2l From @1843mag,London,2020-01-28 17:39:32,Finance
TheEconomist,"On our new weekly podcast “Checks and Balance”, our editors go beyond the horse race to dig into the important themes shaping American politics in this election year.  Listen to the first episode here: https://t.co/9ixgez0Hnw https://t.co/GEydM9ytTa",London,2020-01-28 17:38:20,Finance
TheEconomist,Google trained an AI algorithm to recognise neurons and synapses  https://t.co/tADLVKTgqT,London,2020-01-28 17:28:12,Finance
TheEconomist,"Today on “The Intelligence”: the real value of Trump’s Middle East plan, The Economist's correspondent tells his tale of being detained in Iran and the American states paying people to move in https://t.co/m3yrINxZOP",London,2020-01-28 17:12:09,Finance
TheEconomist,It is time to tear down rotten housing policies and build a market that works https://t.co/PSl3qRwtoS,London,2020-01-28 16:56:56,Finance
TheEconomist,Vietnam produces more power from big solar farms than Australia https://t.co/QCX6lp8ITg,London,2020-01-28 16:41:23,Finance
TheEconomist,"""I shook hands with my captors. I may even have said “see you again””. In July 2019 Nicolas Pelham, The Economist's Middle East correspondent, was detained by Iran's Revolutionary Guards for seven weeks. He described his experience on “The Intelligence” https://t.co/ot4yPHnAzk https://t.co/jgLUGG7gbK",London,2020-01-28 16:23:06,Finance
TheEconomist,"Plenty of American cities and states have dwindling populations. The plan for some, @Rosemarie_Ward tells “The Intelligence”, is simple: pay people to move in https://t.co/7TyeFViv0y https://t.co/4XAX5uIeh1",London,2020-01-28 16:10:11,Finance
TheEconomist,Research has called into question the effectiveness of medical treatments https://t.co/RzOWCwkQ2A,London,2020-01-28 15:38:14,Finance
