user,text,location,date,topic
business,Starbucks says it has temporarily closed more than half of its locations in mainland China due to the viral outbreak https://t.co/hZ5SsEs7Js,New York and the World,2020-01-28 21:29:11,Finance
business,Trump’s Middle East peace plan would offer the Palestinians far less than they have been ready to accept in previous rounds of negotiations. Here are the key takeaways https://t.co/xh1oOFbYwb,New York and the World,2020-01-28 21:22:56,Finance
business,"Biden is holding his lead in national polling just days ahead of the Iowa caucuses, but Sanders is keeping the gap narrow https://t.co/zB5tVDb9fh",New York and the World,2020-01-28 21:08:16,Finance
business,"Deutsche Bank has postponed employee pay raises for 2020, saying they won’t take effect until April 1 https://t.co/1gNnG4TUIS",New York and the World,2020-01-28 21:04:09,Finance
business,U.S. banks and other firms evacuated employees from Miami’s financial district after a major earthquake between Cuba and Jamaica https://t.co/2F2YeHG9Xj,New York and the World,2020-01-28 21:03:02,Finance
business,Credit and debit card information from customers of WaWa is reportedly being sold online https://t.co/dciHA7SmdT,New York and the World,2020-01-28 20:59:08,Finance
business,All-clear or just a break in the sell-off? That’s what investors are wondering after U.S. stocks roared back from the worst rout in four months https://t.co/myHErjfytZ,New York and the World,2020-01-28 20:56:09,Finance
business,Trump’s impeachment defense lawyers wrap up their argument that his actions on Ukraine don’t warrant removal from office https://t.co/49P2Nz3ngP,New York and the World,2020-01-28 20:55:11,Finance
business,"The U.S. and Kenya are expected to announce negotiations on a free-trade agreement next week, America’s first such deal with a sub-Saharan country https://t.co/Wh5ZXJc6Xd",New York and the World,2020-01-28 20:52:06,Finance
business,"Navinder Sarao, the trader blamed for 2010's flash crash, gets no jail time for spoofing, after initially facing 22 criminal counts https://t.co/aIn87rscDe",New York and the World,2020-01-28 20:50:08,Finance
business,"The School of Architecture at Taliesin, which encompasses Frank Lloyd Wright properties in Wisconsin and Arizona, will shutter in June, the AP reports https://t.co/DLM7Z8kN8Z",New York and the World,2020-01-28 20:46:05,Finance
business,The CEO of one of Canada's biggest banks is speaking out on the crisis in Venezuela https://t.co/LQchFnKCTw,New York and the World,2020-01-28 20:39:06,Finance
business,"Jordan’s foreign minister says the establishment of an independent Palestinian state, with East Jerusalem as its capital, is the only path to a lasting peace https://t.co/9SvrNhRFme",New York and the World,2020-01-28 20:32:09,Finance
business,"Senators will ask questions of the trial lawyers for eight hours on Wednesday and again on Thursday, Majority Leader Mitch McConnell said https://t.co/nfVUxzHFbp",New York and the World,2020-01-28 20:28:02,Finance
business,"The Israeli cabinet will vote Sunday on a proposal to annex West Bank territory where settlements stand, according to local TV reports https://t.co/BGQHCljIg6",New York and the World,2020-01-28 20:24:05,Finance
business,The EU is going to force companies to regularly report how they are adapting to climate change and how much they are doing to stop it https://t.co/kwUEf2qW0P,New York and the World,2020-01-28 20:19:05,Finance
business,Canadian Prime Minister Justin Trudeau is losing support for a plan to expand the Trans Mountain oil pipeline https://t.co/lGgW5PY9sJ,New York and the World,2020-01-28 20:16:11,Finance
business,A study finds that ships running on liquefied natural gas are actually worse for the environment than those burning oil https://t.co/fgQwxDcUr0,New York and the World,2020-01-28 20:05:11,Finance
business,The U.K.’s decision to put limits on China’s Huawei will force a redrawing of Britain’s telecom industry https://t.co/qUSJY9VODQ,New York and the World,2020-01-28 20:04:03,Finance
business,U.S. stocks climbed the most since October on speculation that efforts to contain the coronavirus will prevent a major economic fallout https://t.co/Ai14dRvulX,New York and the World,2020-01-28 20:01:07,Finance
business,Former Treasury Secretary Lawrence Summers proposed several steps the U.S. can take to raise more money from the rich without adopting a wealth tax https://t.co/EKPcqWKu8s,New York and the World,2020-01-28 19:57:08,Finance
business,LATEST: The U.S. Geological Survey says a powerful magnitude 7.7 earthquake has struck south of Cuba and northwest of Jamaica. The USGS initially reported the magnitude at 7.3 https://t.co/CDN5LjYBoy,New York and the World,2020-01-28 19:54:48,Finance
business,Apple’s ability to send engineers to China could be constrained by United’s decision to reduce travel there https://t.co/sWDd2CIuXk,New York and the World,2020-01-28 19:54:08,Finance
business,The charter company involved in Sunday’s helicopter crash that killed Kobe Bryant and eight others has been involved in four previous crashes over the past 35 years https://t.co/O7llr7iAse,New York and the World,2020-01-28 19:51:06,Finance
business,JUST IN: A powerful magnitude 7.3 earthquake has hit in the waters south of Cuba and northwest of Jamaica https://t.co/143oRaF4Ej https://t.co/5DnbLt5TyB,New York and the World,2020-01-28 19:48:29,Finance
business,These two men who reinvented coupon-clipping for the internet age have just reaped about $1.5 billion https://t.co/b4R1rtnGkY,New York and the World,2020-01-28 19:47:04,Finance
business,Facebook’s proposed content Oversight Board could take months to make decisions on controversial posts that might violate company rules https://t.co/w50kFWHttL,New York and the World,2020-01-28 19:45:07,Finance
business,"JUST IN: The U.S. budget deficit is projected to exceed $1 trillion in this fiscal year, while economic growth will be stronger than expected https://t.co/U6fecw5RF6",New York and the World,2020-01-28 19:44:32,Finance
business,A Russian Bitcoin suspect will probably remain in France to face cryptocurrency-related charges there https://t.co/cUJTKMXBWZ,New York and the World,2020-01-28 19:42:08,Finance
business,Google led the way as corporations raised the amount of clean energy they bought in 2019 https://t.co/ngpemra6Y0,New York and the World,2020-01-28 19:34:04,Finance
business,Pressure mounts on Justin Trudeau’s government to make up its mind after Britain gives Huawei partial access to its 5G networks https://t.co/WDxKlmULsU,New York and the World,2020-01-28 19:34:04,Finance
