user,text,location,date,topic
SpinninRecords,"Ready to join a gig, GAMING style?! 🎮 Join @Blasterjaxx at the Main Stage of @AvakinOfficial for a virtual concert! 🔥 Feb 7th - 9th, 12PM CET. 
- Link to FB Event: https://t.co/j9Yx4YvKkZ

#Blasterjaxx #SpinninGaming #AvakinLife #Avakin #virtualconcert https://t.co/aNrAbkNJSD","Record Label, The Netherlands",2020-01-28 20:00:24,Music
SpinninRecords,"We can't wait for @SamFeldtMusic to open the Spinnin' Hotel this year on a sunny Wednesday March 18 with his Sam Feldt Presents: Heartfeldt Pool Party ☀️😎

TICKETS: https://t.co/N0CBtIU3QN
#SamFeldt #SpinninHotel #SpinninRecords #MiamiMusicWeek #Miami #HeartfeldtPoolParty https://t.co/WnnEnv6Ifb","Record Label, The Netherlands",2020-01-28 17:00:15,Music
SpinninRecords,"Choosing between 2 iconic duos should be illegal 😓

🎵 @Bassjackers - Mush Mush (2019 Reboot) 
#Dilemma #SpinninDilemma #LucasAndSteve #Bassjackers #SpinninRecords - @lucasandsteve https://t.co/Nn34F4usNE","Record Label, The Netherlands",2020-01-28 14:00:30,Music
SpinninRecords,"Don't forget to add @kentakano_dj &amp; @djsmoreno's 'Antidote' (feat. Nico M) to you favorite playlist 👌

#KenTakano #PatrickMoreno #Antidote #NicoM #SpinninAsia #SpinninRecordsAsia #SpinninRecords - @spinninasia https://t.co/fVWyiYHTkL","Record Label, The Netherlands",2020-01-28 11:00:52,Music
SpinninRecords,".@ValyMo: ""Biggest announcement of my DJ life! I'm very very proud to share with you - Laser House - OUT NOW! ⚡ Thanks to @tiesto for believing in my music!""

Stream/Download here: https://t.co/FEzihwGbt8
#ValyMo #LaserHouse #NewMusic #SpinninRecords #MusicalFreedom #Tiesto https://t.co/lyDwNYK83R","Record Label, The Netherlands",2020-01-28 05:00:18,Music
SpinninRecords,"The @thisisprophecy remix of 'Chase The Sun' is here! 

Grab your copy here: https://t.co/I5r8eJZYz4
#DannyAvila #ChaseTheSun #Prophecy #NewMusic #SpinninRecords - @DJDannyAvila https://t.co/6548hOSmrs","Record Label, The Netherlands",2020-01-28 02:00:48,Music
SpinninRecords,"Extend your weekend with the powerful '@MaxximizeRec Future Sounds EP'! ✊

GO: https://t.co/QhqFrxoNrF
#MaxximizeFutureSounds #FutureSounds #Maxximize #SpinninRecords https://t.co/2QuLnbtIk7","Record Label, The Netherlands",2020-01-28 00:01:13,Music
SpinninRecords,"We’re delighted to drop the first artist @splice sample pack, from none other that @SamFeldtMusic! 🤩 Here are: the Heartfeldt Signature Sounds! 🎶 - Get it here: https://t.co/x7DMH9rXSe

#partnership #ad #Splice #SpinninSounds #Heartfeldt #SamFeldt #HeartfeldtSignatureSounds https://t.co/JPjOPZABbm","Record Label, The Netherlands",2020-01-27 20:01:34,Music
SpinninRecords,"Big things await us at the celebratory 5th edition of Spinnin’ Hotel! Happy to announce the return of @SpinninSessions on March 21! 🍹🙌

#SpinninHotel #SpinninRecords #MiamiMusicWeek #Miami https://t.co/vg0y5VKdGC","Record Label, The Netherlands",2020-01-27 17:00:32,Music
SpinninRecords,".@djfrontliner x @SandervanDoorn are coming in at full force! 🔥

Full video: https://t.co/lL6gK4l83H
#MassiveMonday #Frontliner #SanderVanDoorn #LikeThis #NewMusic #SpinninRecords https://t.co/yyiY5OBA1w","Record Label, The Netherlands",2020-01-27 16:01:23,Music
SpinninRecords,".@BLRofficial: ""This basically was made as a true follow up to 'Taj'! Since the track did so great in Eastern Europe and first went viral in Poland🇵🇱 I reached out to MVRT and we wrote 'Comfort Me' as a result.""

#BLR #ComfortMe #MVRT #SpinninRecords https://t.co/fXAEsly7g6","Record Label, The Netherlands",2020-01-27 11:00:43,Music
SpinninRecords,"Cooking up some fire tunes 🔥

🎵 @jayhardway - Operation Unicorn 
#SpinninRecords #SpinninMeme #JayHardway #OperationUnicorn https://t.co/u2bZz1bW1U","Record Label, The Netherlands",2020-01-27 08:00:31,Music
SpinninRecords,".@OliverHeldens sure delivered his magic last year at @Ultra! Who's already excited for this year?

#OliverHeldens #Ultra #SpinninRecords https://t.co/9axGszkmBG","Record Label, The Netherlands",2020-01-26 14:00:52,Music
SpinninRecords,"This week, @ChocolatePuma are giving talented producers tips about the importance of fluctuation in your track &amp; how to keep your work clean of overusing effects. 👍 - Check it out: https://t.co/6d8i2mUVU9

🎧 AP. OllO, Rico Percuma , Low Trap
#TheDrop #SpinninRecords @talentpool https://t.co/6Srug1d5DO","Record Label, The Netherlands",2020-01-26 11:00:19,Music
SpinninRecords,"Let's work on that fit body! 🏋️‍ - Watch the official video of 'Feeling Good' here for inspiration: https://t.co/Xlc33KWTvj

#MarianaBO #FeelingGood #officialvideo #SpinninRecords - @MarianaBoMx @Reebok @LesMills https://t.co/dNMBhbZlGF","Record Label, The Netherlands",2020-01-26 08:00:30,Music
SpinninRecords,"This makes us happy as a clam 😁

Pre-save here: https://t.co/d4GUz4Fjie
#DaddysGroove #Borracho #presave #SpinninRecords - @daddysgroove https://t.co/LSawapqfgC","Record Label, The Netherlands",2020-01-26 05:00:18,Music
SpinninRecords,"Funk up your weekend! 🕺🏼

Stream/Download 'Keep On Jumping' here: https://t.co/iGEbR2IZQJ
#WhiteChocolate #KeepOnJumping #Heldeep #SpinninRecords #NewMusic - @hellowhitechoc @HeldeepRecords https://t.co/EwIbX7acGF","Record Label, The Netherlands",2020-01-26 00:00:18,Music
SpinninRecords,"Who thinks these three should collab again? 🤩 

#Quintino #NERVO #SpinninRecords - @QUINTINOO @nervomusic https://t.co/Dx28q1sLFq","Record Label, The Netherlands",2020-01-25 20:00:15,Music
SpinninRecords,"NEXT FRIDAY😱

Pre-save now: https://t.co/uC7EzeyoCF
#MORTEN #Polar #presave #SpinninRecords - @MORTENofficial https://t.co/TeS5IjY8AM","Record Label, The Netherlands",2020-01-25 14:00:21,Music
SpinninRecords,"Or multiple tracks 🤔

​🎵 @beauz_world - Feel The Light
#TopicTalk #SpinninRecords https://t.co/fYALqFRpbg","Record Label, The Netherlands",2020-01-25 11:00:19,Music
SpinninRecords,"Who wanted to be present as this party as well?! 🙌

Get 'Big Beat' here: https://t.co/YKnvHqwnUs
#Aazar #Godamn #BigBeat #NewMusic #MusicalFreedom #SpinninRecords - @musicalfreedom @aazar @wearegodamn https://t.co/BiMFThDSjx","Record Label, The Netherlands",2020-01-25 08:00:30,Music
SpinninRecords,".@RANDALL_tweet's 'Zabana' isn’t for the faint-hearted!

Grab your copy here: https://t.co/TjSO9AEBnR
#RANDALL #Zabana #NewMusic #Dharma #SpinninRecords - @DharmaWorldwide https://t.co/uVy9ctjpEx","Record Label, The Netherlands",2020-01-25 05:00:21,Music
SpinninRecords,"We're incredibly proud of our man @IMSLVR! His first EP - Alive - is coming soon 👏 What do you think of the first track: Charge?

Get it here: https://t.co/voDsnexmBo
#SLVR #Charge #NewMusic #SpinninNext #SpinninRecords - @SpinninNEXT https://t.co/nIkykLqQWd","Record Label, The Netherlands",2020-01-25 02:00:46,Music
SpinninRecords,"Give it up for Jake Tarry's remix of 'In &amp; Out Of My Life! 👏

Stream/Download here: https://t.co/2mU7C94pXG
#SteffDaCampo #JakeTarry #InAndOutOfMyLife #NewMusic #SpinninRecords - @STEFFDACAMPO https://t.co/dOjk79pe4G","Record Label, The Netherlands",2020-01-25 02:00:20,Music
SpinninRecords,"Huge announcement incoming next week 🤫 

🎵 ID - ID https://t.co/kCfMsQM6Lu","Record Label, The Netherlands",2020-01-25 00:00:31,Music
SpinninRecords,"We know you've been waiting for this one! 

Grab your copy here: https://t.co/LFwZj9UXgB
#Tiesto #7Skies #RebMoe #MyFrequency #NewMusic #NewMusicFriday #SpinninRecords - @tiesto @7Skies @MoeReb @musicalfreedom https://t.co/Oc6VSQaJi8","Record Label, The Netherlands",2020-01-24 20:00:30,Music
SpinninRecords,"We are excited to welcome the year of the rat! Thank you for all the support last year and we wish you a happy Chinese lunar new year! 新年快乐！新年快樂！🐭🏮🎊

#happylunarnewyear #yearoftherat #新年快乐 #新年快樂 #紅包拿來 https://t.co/aXKZG7lokM","Record Label, The Netherlands",2020-01-24 17:01:17,Music
SpinninRecords,"The frisky beats of @siksmusic's 'Maybe You' are here! 

Stream/Download now: https://t.co/AJdU5BvcOT
#Siks #MaybeYou #NewMusic #SpinninRecords https://t.co/NGVXnkBd9d","Record Label, The Netherlands",2020-01-24 14:01:10,Music
SpinninRecords,"By dropping this blasting @kevumusic track, the full '@Maxximize Future Sounds EP' is out now! ☄️

Stream/Download 'Pull Up' here: https://t.co/WeAZ8vo2xr
#KEVU #PullUp #NewMusic #NewMusicFriday #SpinninRecords #Maxximize #FutureSounds - @MaxximizeRec https://t.co/sBRtaTOEqp","Record Label, The Netherlands",2020-01-24 11:00:34,Music
SpinninRecords,"""Setting the tone for the new decade with his energy filled 'Operation Unicorn', @jayhardway promises a year filled with sensational releases and a few surprises up his sleeve."" - Thanks for supporting, @YourEDM! 🖤 https://t.co/tBZTPHptov","Record Label, The Netherlands",2020-01-24 09:04:24,Music
SpinninRecords,"The wait is over guys!  'Operation Unicorn' is available now 🦄

Get this amazing track here: https://t.co/VGuCealaqa
#JayHardway #OperationUnicorn #unicorn #NewMusic #NewMusicFriday #SpinninRecords - @jayhardway https://t.co/WInOfVswRz","Record Label, The Netherlands",2020-01-24 08:00:40,Music
SpinninRecords,"Never a dull moment at a @VintageCulture show 🤩
​
#VintageCulture #SoTrackBoa #SpinninRecords https://t.co/XyDnX7JKJR","Record Label, The Netherlands",2020-01-24 05:01:04,Music
SpinninRecords,".@felguk: ""We made this really cool tech house groove, and felt we could light it up with some fun lead! So we made this 8-bit like sound and melody and it fit perfectly."" 😎

#Felguk #GameBoy #SpinninRecords #MusicalFreedom - @musicalfreedom https://t.co/c0JieoqfJu","Record Label, The Netherlands",2020-01-24 02:00:18,Music
SpinninRecords,"Turn on this one for some good times ahead! 💙

#LUMIX #MOKABY #DTE #GabryPonte #ThePassenger #SpinninRecords - @mokabyofficial @dtemusicc @gabryponte https://t.co/NP8cS3fOH7","Record Label, The Netherlands",2020-01-24 00:00:48,Music
SpinninRecords,"And it always happens in the middle of a banger...

#meme #SpinninMeme #Tujamo #SpinninRecords - @itsTUJAMO https://t.co/KU3oFU4PC5","Record Label, The Netherlands",2020-01-23 20:00:03,Music
SpinninRecords,"This tune is HUGE! 😱

#VintageCulture #AdamK #MKLA #DeepInsideOfMe #SpinninRecords - @VintageCulture @djadamk https://t.co/SsGTW28TLO","Record Label, The Netherlands",2020-01-23 17:00:24,Music
SpinninRecords,"The support for @ChocolatePuma &amp; @Firebeatz' 'Soul Fifty' is incredible! 🙏

- @KryderMusic @DonDiablo @OliverHeldens @blackmadonnachi @dannyhowarddj @lucasandsteve @Leandro_dsl https://t.co/kUlCSj9AXq","Record Label, The Netherlands",2020-01-23 14:00:37,Music
SpinninRecords,"Proof that you should never give up! 💪

Here you go: https://t.co/4QHtrzpTFc
#Feelit #ASCO #Latenza #MaxximizeRecords #SpinninRecords #NewMusic - @MaxximizeRec https://t.co/aqr6mVFi8x","Record Label, The Netherlands",2020-01-23 08:01:03,Music
SpinninRecords,".@DJRayRay_Taiwan always makes the crowd crave for more! 🤩

#JuyenSebulba #RayRay #ShakeItDown #SpinninRecors - @JuyenSebulba https://t.co/oiK3NeEUj6","Record Label, The Netherlands",2020-01-23 05:00:33,Music
SpinninRecords,"The dynamic beats @dropgunmusic &amp; BassRox's 'Sanctuary'!

#Dropgun #BassRox #Sanctuary #SpinninRecords https://t.co/vk164s3Nj2","Record Label, The Netherlands",2020-01-23 02:00:20,Music
SpinninRecords,".@ValyMo gave us a little tease at Ravolution Festival &amp; next Monday this track will be out in full! 🔥

Pre-save here: https://t.co/FEzihwGbt8
#ValyMo #LaserHouse #Ravolution #RavolutionFestival #presave #SpinninRecords - @musicalfreedom https://t.co/7t5vO8Luak","Record Label, The Netherlands",2020-01-23 00:00:54,Music
SpinninRecords,".@tiesto: ""Coming soon! 👉 Who wants to hear the full version of 'My Frequency'? Can’t wait to release this track!""

#Tiesto #MyFrequency #7Skies #RebMoe #SpinninRecords - @7Skies @MoeReb https://t.co/oVE8NwHkN8","Record Label, The Netherlands",2020-01-22 20:00:51,Music
SpinninRecords,".@kentakano_dj, @djsmoreno &amp; Nico M are going places with this one! 

#KenTakano #PatrickMoreno #NicoM #Antidote #SpinninRecords #SpinninRecordsAsia #SpinninAsia - @spinninasia https://t.co/jP6uyXOhad","Record Label, The Netherlands",2020-01-22 17:00:47,Music
SpinninRecords,"Just a few days before the full EP drops! 😱 Here's #4: Zafrir - Hena (feat. Dikanda)!

Get 'Hena' here: https://t.co/Bqh3pISYPO
#Zafrir #Dikanda #Hena #Maxximize #SpinninRecords #NewMusic - @MaxximizeRec https://t.co/nTL5msVVJT","Record Label, The Netherlands",2020-01-22 14:00:58,Music
SpinninRecords,"Let the electrifying beats and bleeps take you over! ⚡️

By the likes of @alokoficial @tiesto @Sikdope @Bassjackers @itsTUJAMO @ChocolatePuma @moguai @BreatheCarolina and many more.

Get it here: https://t.co/AxlADmOx63
#ElectroHouse #House #ElectroHouseAnthems https://t.co/4BU0uwopue","Record Label, The Netherlands",2020-01-22 08:00:28,Music
SpinninRecords,".@NormanDoray: ""Happy to share a deeper side of me with this new one!""

#NormanDoray #Santeli #Bigstate #TakeSomeTime #SpinninRecords - @SANTELIMUSIC @Bigmusicstate https://t.co/0okUBwaaX6","Record Label, The Netherlands",2020-01-22 02:00:31,Music
SpinninRecords,"'The One' you need in your playlist of happy tunes! 🙃

#KimKaey #BillyDaKid #TheOne #SpinninRecords - @kim_kaey @billydakiduk https://t.co/rZEgChw1oZ","Record Label, The Netherlands",2020-01-22 00:00:30,Music
SpinninRecords,"Love is in the air! 💞☁️

Watch full video: https://t.co/V9dg6i8PMV
#MikeWilliams #MakeYouMine #MoaLisa #SpinninRecords - @mikewilliamsdj https://t.co/hkWa2Bbbr2","Record Label, The Netherlands",2020-01-21 17:00:18,Music
SpinninRecords,"""Since having his first demo track picked up by @DonDiablo in 2017, @kentakano_dj is grown into one of the top Asian dance music talents. His latest release “Antidote” is another example of his growing momentum."" - Thanks for supporting, @1001tracklists!🖤 https://t.co/XxFhQdfTAp","Record Label, The Netherlands",2020-01-21 14:54:20,Music
SpinninRecords,"Go get your copy of 'Rababah'! 👉 Here you go: https://t.co/xGyuc5Ic8u

#IGNITION #Rababah #Maxximize #SpinninRecords #NewMusic - @weare_ignition @MaxximizeRec https://t.co/vvCOCnTBz1","Record Label, The Netherlands",2020-01-21 14:00:16,Music
SpinninRecords,"This drop = The. Greatest. Of. All. Time! 😱

#OliverHeldens #Mesto #TheGOAT #GOAT #SpinninRecords - @OliverHeldens @mestomusic https://t.co/Bt8oyM29W5","Record Label, The Netherlands",2020-01-21 08:00:20,Music
