user,text,location,date,topic
billboard,"Here are the nominees for @TheJunoAwards 2020 

#JUNOS https://t.co/FfI5x6srd6",,2020-01-28 21:12:05,Music
billboard,Ticket Alternative co-founder Iain Bluett is stepping down from the Atlanta-ticketing company he co-founded https://t.co/IhM3aTzG83,,2020-01-28 21:00:06,Music
billboard,"The #FireflyMusicFestival lineup is out &amp; @billieeilish, Rage Against The Machine (@RATM), @halsey &amp; more are set to headline https://t.co/4SXW1eoXfe",,2020-01-28 20:50:06,Music
billboard,Here's all the details we have about @justinbieber's upcoming #Changes album so far 💿 https://t.co/G8FtyxMpmb,,2020-01-28 20:41:08,Music
billboard,.@BTS_twt's #JHope shared a fun fact that he learned while creating #ChickenNoodleSoup with @iambeckyg https://t.co/Ve4oMFWFpv,,2020-01-28 20:31:09,Music
billboard,.@4kingandcountry chat about how they ended up working with @DollyParton on the remix of #GodOnlyKnows on the #GRAMMYs red carpet https://t.co/3eATBZr0Wy,,2020-01-28 20:21:08,Music
billboard,Listen to the premiere of @elizagilkyson's new track #SoonerOrLater below https://t.co/b58T6wcsNo,,2020-01-28 20:09:03,Music
billboard,"Moves on the @billboardcharts 📈

@BTS_twt officially matches @justinbieber's record for the most weeks at No. 1 on the #Social50 chart https://t.co/j0U0rf03Jb",,2020-01-28 19:45:13,Music
billboard,Is @michaelmonroe as vital as he's ever been? #HanoiRocks star is a 'One Man Gang' https://t.co/qk2ucOdY8J,,2020-01-28 19:40:03,Music
billboard,"“I’m going to use my music to carry the message of all those who aren’t being heard."" - @ricky_martin https://t.co/M3FiU2WNue",,2020-01-28 19:30:11,Music
billboard,.@CBS is moving forward with the @IAMQUEENLATIFAH-led #TheEqualizer https://t.co/j1163QpN9Y,,2020-01-28 19:20:06,Music
billboard,"#BillboardOntheBlock is LIVE now featuring special guest, @DSmoke7! https://t.co/V8UA59ATfs",,2020-01-28 19:18:47,Music
billboard,"Happy birthday, @JColeNC! 🎂

To celebrate, we chose 20 of our favorite songs by the rapper https://t.co/5tnkFcdSCk",,2020-01-28 19:12:07,Music
billboard,Rihanna took to social media to mourn the loss of #KobeBryant https://t.co/BqHmKfYSVO,,2020-01-28 19:00:12,Music
billboard,.@LewisCapaldi has signed an international neighbouring rights deal with @kobalt https://t.co/L0ReloX13J,,2020-01-28 18:50:07,Music
billboard,.@ArianaGrande was seriously impressed by @BTS_twt's #GRAMMYs rehearsals https://t.co/og8bp2pqq8,,2020-01-28 18:40:09,Music
billboard,"Heather Jeanette (@HeatherJRocks) illustrates the loneliness heartbreak can bring in the stunning visual for ""I'll Never Stop Loving You"" https://t.co/Qf5vrEblO4",,2020-01-28 18:30:15,Music
