user,text,location,date,topic
NBCPolitics,"There is a special election tonight for a key seat in the Texas House of Representatives.

@Mike_Hixenbaugh takes a look inside Democrats' effort to turn red to blue in Texas. https://t.co/MQrZ7NVyEi",,2020-01-28 20:04:03,Politics
NBCPolitics,"Senate Republicans to meet this afternoon after President Trump's impeachment trial adjourns — and the question of whether to call witnesses in the trial is expected to be discussed, 4 GOP aides tell @NBCNews. https://t.co/mpm6XSrBT5",,2020-01-28 19:17:05,Politics
NBCPolitics,"BREAKING: Pres. Trump unveils long-awaited Middle East peace plan that proposes conditional path to statehood for Palestinians, while recognizing Israeli sovereignty over significant portion of West Bank; Palestinians have not been involved in the process. https://t.co/207sV83s89",,2020-01-28 19:15:11,Politics
NBCPolitics,LIVE: @NBCNews Special Report: Senate impeachment trial reconvenes for 7th day; President Trump's defense team to conclude arguments. https://t.co/E6m4MNSWQE,,2020-01-28 18:47:43,Politics
NBCPolitics,"With 4 Republicans needed to vote alongside all Democrats in order for new witness testimony to be admitted in the Senate impeachment trial, Sen. Alexander of Tennessee could be a pivotal vote. https://t.co/28K3RbrvBI",,2020-01-28 18:44:07,Politics
NBCPolitics,"Michael Bloomberg on President Trump:

""The last time I talked to him ... I had to call him, and he was president-elect, so sure. And we had a pleasant conversation. He asked what he should do. I said, 'hire people smarter than you,' and he said, 'there aren't any.'"" https://t.co/sYKz8zf17P",,2020-01-28 17:58:45,Politics
NBCPolitics,"Voters in a state house district in the suburbs of Houston, Texas, are set to deliver the first electoral decision of the year — and both parties are watching closely. https://t.co/eAvVjVxFYa",,2020-01-28 17:51:06,Politics
NBCPolitics,"Senate Republican conference to meet this afternoon after impeachment trial adjourns; question of whether to call witnesses expected to be discussed, 4 GOP aides tell @NBCNews.
 
Meeting is for “starting to check the conference on witnesses,” GOP leadership aide says.",,2020-01-28 17:14:58,Politics
NBCPolitics,"A person close to John Bolton tells @NBCNews that a single hard copy of his new book was delivered last month to White House for NSC review.

What happened to the copy is unknown to Bolton’s team, but it appears copies of it were made. https://t.co/GbBqxknP4R",,2020-01-28 17:11:09,Politics
NBCPolitics,BREAKING: US prosecutors have charged Harvard University's chemistry dept. chair with allegedly lying to the US Dept. of Defense about his work for a Chinese talent recruitment program. https://t.co/DRsSvpgUjs,,2020-01-28 16:59:31,Politics
NBCPolitics,"Less than a week from the Iowa caucuses, Sen. Warren is leaning in on the gender question. https://t.co/JUmNjbVBXC",,2020-01-28 10:02:22,Politics
NBCPolitics,"WATCH: Rep. Schiff says the Bolton leak came as a “surprise” and that senators “cannot hide from a relevant witness who will come forward."" - @NBCNewsNow https://t.co/ilEOUtrAdI",,2020-01-28 03:29:03,Politics
