user,text,location,date,topic
nytpolitics,Some employees of color on Pete Buttigieg's campaign said they felt stressed from having to answer questions from friends and family members about working for a candidate struggling with minority voters https://t.co/jiFt3OsEgC,Washington Bureau,2020-01-28 21:25:08,Politics
nytpolitics,"Britain won't ban equipment by Huawei from its 5G network, the starkest sign that the U.S. campaign against the Chinese technology giant is faltering https://t.co/ECr6egrtEG",Washington Bureau,2020-01-28 20:55:08,Politics
nytpolitics,"Closing out the defense of President Trump in his impeachment trial, Pat Cipollone, the White House counsel, called on senators to “end the era of impeachment” by declaring Trump not guilty https://t.co/BHPlmcx3LU",Washington Bureau,2020-01-28 20:44:42,Politics
nytpolitics,"Two Arizona laws violated the Voting Rights Act by making it harder for minorities to cast ballots, a federal appeals court has ruled. Here's what the decision could mean for the presidential race. https://t.co/G1JpmltVm7",Washington Bureau,2020-01-28 20:25:06,Politics
nytpolitics,"President Trump’s decision to stage one of his rallies in Wildwood, motivated by a desire to support a local congressman who had recently switched parties, upended the usual rhythms of the beach community https://t.co/mREhnc7lLR",Washington Bureau,2020-01-28 19:55:06,Politics
nytpolitics,We photographed the House managers prosecuting President Trump and the legal team defending him. Here's how they view impeachment. https://t.co/TUhqZzX5mA,Washington Bureau,2020-01-28 19:25:07,Politics
nytpolitics,"The State Department will not allow NPR’s diplomatic correspondent on Secretary of State Mike Pompeo’s government airplane for an upcoming trip, which includes a stop in Ukraine https://t.co/Ao1CKqoNNH",Washington Bureau,2020-01-28 18:55:06,Politics
nytpolitics,President Trump’s lawyers are wrapping up their defense in the impeachment trial. Follow along with live video and updates. https://t.co/tXGAwqUyU7,Washington Bureau,2020-01-28 18:25:09,Politics
nytpolitics,"John Kelly, the former chief of staff to President Trump, said that he believed the revelations in John Bolton's upcoming book, and that the Senate should call witnesses in the impeachment trial https://t.co/XHclCvDCsX",Washington Bureau,2020-01-28 18:05:08,Politics
nytpolitics,"A Harvard scientist was charged with making false statements about Chinese funding, part of an F.B.I. effort to root out theft of American research https://t.co/ezoteEKJRJ",Washington Bureau,2020-01-28 17:40:07,Politics
nytpolitics,Rep. Doug Collins is expected to challenge Sen. Kelly Loeffler in this fall’s special election for one of Georgia’s Senate seats https://t.co/WQcpbIfxia,Washington Bureau,2020-01-28 17:10:05,Politics
nytpolitics,President Trump is expected to swoop into India for a full-fledged state visit in late February. A visit would be a welcome distraction for two nationalistic leaders who both face deepening political troubles at home. https://t.co/s7gtrJPwIw,Washington Bureau,2020-01-28 16:40:06,Politics
nytpolitics,President Trump’s lawyers will complete their third and final day of oral arguments on Tuesday. Here's what to expect. https://t.co/KOiOh07nqc,Washington Bureau,2020-01-28 16:10:08,Politics
nytpolitics,"After hours of confusion during which officials had initially identified the plane as a passenger airliner, the United States military said there was no indication that enemy fire had caused the aircraft to crash in Taliban territory https://t.co/m6s1mqUaru",Washington Bureau,2020-01-28 15:40:06,Politics
nytpolitics,"Details in a coming book by the former national security adviser John Bolton are threatening to derail Republican senators’ plans for a speedy acquittal. Listen to today's episode of ""The Daily."" https://t.co/IMB59QOQD8",Washington Bureau,2020-01-28 15:10:04,Politics
nytpolitics,Are you good at paperwork? Take this quiz to see whether you could make the kinds of mistakes that can cost poor families food or health insurance. https://t.co/yEjnpPUv5n,Washington Bureau,2020-01-28 14:40:06,Politics
nytpolitics,"How Sanders can win, calls for Bolton to testify, Warren’s new line: This is your morning tip sheet. https://t.co/pUHexMOCqA",Washington Bureau,2020-01-28 14:30:11,Politics
nytpolitics,"President Trump met with both Prime Minister Benjamin Netanyahu of Israel and his challenger, Benny Gantz, on the eve of releasing a Middle East peace plan in an unusual diplomatic moment https://t.co/0k5nbdwEGW",Washington Bureau,2020-01-28 14:10:06,Politics
nytpolitics,"Former Representative Pete Stark, who in his long legislative career as a Democrat from California helped expand access to health insurance, died on Friday. He was 88. https://t.co/Z3erqjjX61",Washington Bureau,2020-01-28 13:40:07,Politics
nytpolitics,"John Bolton privately told Attorney General William Barr that he had concerns that President Trump was effectively granting personal favors to the autocratic leaders of Turkey and China, according to an unpublished manuscript written by Bolton https://t.co/s2SEd9GwSU",Washington Bureau,2020-01-28 13:20:50,Politics
nytpolitics,The White House and Senate Republican leaders struggled to salvage their plans to push toward a quick acquittal of President Trump after a new account by his former national security adviser corroborated a central piece of the case against him https://t.co/ArkCN6QM3g,Washington Bureau,2020-01-28 13:10:09,Politics
nytpolitics,"President Trump expanded his steel and aluminum tariffs to cover new products, saying the levies had not yet had the intended effect  https://t.co/3uZnGZRRY4",Washington Bureau,2020-01-28 12:45:08,Politics
nytpolitics,"""I was in too much shock to even ask for water."" Since August, at least 16 Iranian students have been turned away at U.S. airports. We talked to some of them about the experience. https://t.co/GznUknEIAT",Washington Bureau,2020-01-28 03:00:15,Politics
nytpolitics,"“Now, I know I’m not the only Jewish candidate running for president,” Michael Bloomberg said, in a nod to Bernie Sanders. “But I am the only one who doesn’t want to turn America into a kibbutz.”  https://t.co/UxFNmGKtEI",Washington Bureau,2020-01-28 02:30:10,Politics
nytpolitics,From John Bolton’s book draft: He says he voiced concerns to William Barr that President Trump was effectively granting personal favors to autocrats. https://t.co/nOT1lpNM2D,Washington Bureau,2020-01-28 02:03:35,Politics
nytpolitics,"A glossary from the Trump impeachment trial: The deliverable, burden sharing, the three Amigos and ""head on a pike,"" among others. https://t.co/xpOxzeU73T",Washington Bureau,2020-01-28 02:00:25,Politics
nytpolitics,"Wolfgang Halbig has falsely accused the parents of children gunned down in Newtown, Conn., of constructing an elaborate hoax to take away Americans' guns. He was arrested in Florida on Monday. https://t.co/LRfR6YQD3q",Washington Bureau,2020-01-28 01:30:14,Politics
nytpolitics,"Criminal defendants often lack expert lawyers at the Supreme Court. Could creating a ""defender general"" level the playing field? https://t.co/poPzfvUyqe",Washington Bureau,2020-01-28 01:10:04,Politics
nytpolitics,New revelations from John Bolton surrounding President Trump's knowledge of pressure on Ukraine did not appear to have changed Senate math or increased the odds that Mr. Bolton could be called to testify https://t.co/MY2jw2OKd1,Washington Bureau,2020-01-28 00:35:08,Politics
nytpolitics,"Pete Buttigieg is the star of the show at his campaign rallies in Iowa, where his crowds are virtually all white. In South Carolina, in front of black audiences, he still needs help telling his story. https://t.co/uMetqi7hX4",Washington Bureau,2020-01-28 00:15:08,Politics
nytpolitics,"Bernie Sanders is threatening to seize control in the early states, taking narrow but clear polling leads in Iowa and New Hampshire and increasingly menacing Joe Biden's advantage in national polls https://t.co/2Aoq9dE7Wm",Washington Bureau,2020-01-28 00:00:20,Politics
nytpolitics,"Paula White, a Florida televangelist and religious adviser to President Trump, defended herself this weekend after a video circulated of her calling for the miscarriage of “satanic pregnancies,” language that she said was taken out of context by critics https://t.co/9P3Dn1Z4ac",Washington Bureau,2020-01-27 23:45:10,Politics
nytpolitics,President Trump said he would release a Middle East peace plan on Tuesday as he welcomed Israeli Prime Minister Benjamin Netanyahu to the White House https://t.co/bOlviBHoQb,Washington Bureau,2020-01-27 23:15:05,Politics
nytpolitics,"By 5 to 4 vote, Supreme Court allowed Trump administration to start enforcing “public charge” wealth test while challenges proceed https://t.co/98901OSt8z",Washington Bureau,2020-01-27 22:45:04,Politics
nytpolitics,"The United States will expand its tariffs to cover products made of steel and aluminum — like nails, tacks, staples, cables, certain types of wire and parts for cars and tractors — as of Feb. 8 https://t.co/cgR6aHgPFy",Washington Bureau,2020-01-27 22:20:05,Politics
nytpolitics,"Here are 6 revelatory moments from the video of President Trump speaking in 2018 to a group of donors at a private dinner, including two businessmen at the center of the impeachment inquiry https://t.co/DDUt0xyD8t",Washington Bureau,2020-01-27 22:00:22,Politics
nytpolitics,Younger voters are likelier than older voters to say they will participate in the Democratic caucus. That is good news for Bernie Sanders. But not for Joe Biden. https://t.co/62Olp7DUhK,Washington Bureau,2020-01-27 21:30:12,Politics
nytpolitics,"Susan Collins, one of the most closely watched swing votes on calling witnesses, said in a statement that new revelations from John Bolton, “strengthen the case for witnesses” in President Trump’s impeachment trial https://t.co/PSk6JL1WKZ",Washington Bureau,2020-01-27 21:00:16,Politics
nytpolitics,No other Democrat in the 2020 field attracts supporters more dedicated to defending their candidate than Bernie Sanders. But the power of his internet army is alarming to those caught in its crosshairs. https://t.co/JIhTcOCHrz,Washington Bureau,2020-01-27 20:30:12,Politics
nytpolitics,South Dakota lawmakers could impose criminal penalties on doctors who provide certain treatments to transgender teenagers https://t.co/hUwKU38mvj,Washington Bureau,2020-01-27 20:05:08,Politics
nytpolitics,"In an op-ed, William Taylor, the former top American diplomat in Ukraine, took issue with Mike Pompeo for reportedly questioning whether Americans care about that country  https://t.co/7PiSE8UnzE",Washington Bureau,2020-01-27 19:40:04,Politics
nytpolitics,“I don’t know if I trust anybody right now.” Top republicans appeared angry at the White House over revelations about a manuscript submitted for review by John Bolton https://t.co/bnuBE5xNYR,Washington Bureau,2020-01-27 19:20:06,Politics
nytpolitics,"Prime Minister Benjamin Netanyahu of Israel returns this week to the White House, where President Trump is expected to lay out the details of a Middle East peace plan that is 3 years in the making https://t.co/jcwY7Ree5v",Washington Bureau,2020-01-27 19:01:05,Politics
nytpolitics,"In this battleground state, Democrats fear an anti-fracking candidate will hand the election to President Trump https://t.co/DYjQoGVtwj",Washington Bureau,2020-01-27 18:40:09,Politics
nytpolitics,"News Analysis: At first glance, at least, John Bolton’s account of President Trump’s private remarks sounds like an echo of the so-called smoking gun tape that proved President Nixon orchestrated Watergate https://t.co/zfbVhigd1Z",Washington Bureau,2020-01-27 18:10:06,Politics
nytpolitics,"As members of Manhattan’s wealthy elite for decades, Michael Bloomberg and Donald Trump, while never friends, sometimes crossed paths. Both men now play down any moments of bonhomie from their past. https://t.co/rDQy1jIpcR",Washington Bureau,2020-01-27 17:45:03,Politics
nytpolitics,President Trump denied his former national security adviser John Bolton's firsthand account that he tied military aid for a foreign ally to his own personal agenda. Bolton's account directly undercuts Trump's defense in his impeachment trial. https://t.co/jxhUdTL7QN,Washington Bureau,2020-01-27 17:22:02,Politics
nytpolitics,"Several Republican senators angrily called the White House trying to determine who knew about John Bolton’s book manuscript, which aides there have had for several weeks https://t.co/a6rXoaJ2Ug",Washington Bureau,2020-01-27 17:02:04,Politics
nytpolitics,Senator Mitt Romney said revelations from John Bolton’s book made it “increasingly likely that other Republicans” would push for Bolton's testimony in President Trump's impeachment trial https://t.co/tCDCebYqTH,Washington Bureau,2020-01-27 16:37:03,Politics
nytpolitics,"Before the Iowa caucuses, we sat down with the 2020 Democratic presidential candidates (again) to ask 20 questions on President Trump, foreign policy, celebrity crushes and more. https://t.co/h6jizwYHWf",Washington Bureau,2020-01-27 16:14:06,Politics
nytpolitics,"The last time Michael Bloomberg and President Trump spoke, a few days after Trump was elected, Bloomberg advised him to “hire a lot of people smarter than you.”

“Mike,” Trump replied, “there is no one smarter than me.” https://t.co/Eg6ReqlgnK",Washington Bureau,2020-01-27 15:44:07,Politics
nytpolitics,News Analysis: Republicans want to cast President Trump’s impeachment as a narrow argument over aid to Ukraine. Democrats want to describe it as part of a broader struggle with Russia. https://t.co/Vqaja0dEvM,Washington Bureau,2020-01-27 15:22:07,Politics
nytpolitics,"New revelations from John Bolton, the former White House national security adviser, could complicate President Trump’s impeachment trial. Here are the key takeaways. https://t.co/nZyPgHhddB",Washington Bureau,2020-01-27 14:52:01,Politics
nytpolitics,Alan Dershowitz and Ken Starr are just part of the team of 8 lawyers defending President Trump in the Senate impeachment trial. Here's a look at his full legal team: https://t.co/FDpzNi7h1Y,Washington Bureau,2020-01-27 14:22:04,Politics
nytpolitics,A heated dispute over the use of the word “torture” erupted at the pretrial hearings for accused conspirators in the Sept. 11 attacks  https://t.co/02jE7OEOVh,Washington Bureau,2020-01-27 13:22:04,Politics
nytpolitics,"“I think it’s intended to be,” replied Rep. Adam Schiff, the lead House impeachment manager, when asked about President Trump's tweet attacking him https://t.co/MQVlA06FNg",Washington Bureau,2020-01-27 12:51:04,Politics
nytpolitics,"700,000 people across the U.S. are set to be dropped from food-stamp rolls under new Trump administration rules. Cities and counties are bracing for the fallout. https://t.co/nRbE3xk3Mb",Washington Bureau,2020-01-27 12:22:03,Politics
nytpolitics,"Welcome to On Politics, our new morning tip sheet. Sign up here to get it in your inbox: https://t.co/VJBzzKvflv

Today: Iowa countdown, our Bolton scoop, a big endorsement and more. https://t.co/ZYAhFb6Wyf",Washington Bureau,2020-01-27 12:10:24,Politics
nytpolitics,“Get rid of her.” Listen to President Trump order an ambassador fired while dining with key players in the Ukraine affair whom he’s denied knowing. https://t.co/llmiixFrGB,Washington Bureau,2020-01-27 01:52:01,Politics
nytpolitics,"Voting starts in the 2020 U.S. presidential primary in just 8 days. Here's our guide to how it all works, what's at stake, and who's leading the race now. https://t.co/HNhAul6oiV",Washington Bureau,2020-01-27 01:38:05,Politics
nytpolitics,The star witnesses of last November’s House impeachment proceedings were resurrected last week in the Senate by the House Democrats presenting their case for convicting the president https://t.co/lzbInK48rJ,Washington Bureau,2020-01-27 01:09:03,Politics
nytpolitics,"For Iowans with disabilities, the 2016 caucuses were a nightmare. Here's what happened to some of them, and why 2020 may not be much better.
 https://t.co/TeTtbcLoj6",Washington Bureau,2020-01-27 00:38:07,Politics
nytpolitics,"Fact Check: Former vice president Joe Biden has made inaccurate claims this month about his record on Social Security, race and foreign policy. https://t.co/MKZ4kbVBg0",Washington Bureau,2020-01-27 00:08:02,Politics
nytpolitics,"Senator Lamar Alexander, a Republican from Tennessee, is retiring at the end of this year. In the White House, he's considered a wild card in President Trump's impeachment trial. https://t.co/MxaoBtdGXD",Washington Bureau,2020-01-26 23:38:04,Politics
nytpolitics,"“We talked to other candidates and told them the formula,” said Johnnie Cordero, the chairman of South Carolina's Democratic black caucus. “Tom Steyer is the one who did it.” https://t.co/jiV8qty0G2",Washington Bureau,2020-01-26 23:08:08,Politics
nytpolitics,"President Trump directly tied the withholding of military aid to investigations that he sought from Ukrainian officials, according to an unpublished manuscript of a book written by John Bolton, Trump’s former national security adviser https://t.co/hqnbWFZl53",Washington Bureau,2020-01-26 23:06:14,Politics
nytpolitics,"Whether the Senate will vote to call witnesses is one of the biggest unanswered questions in President Trump's impeachment trial. If senators did vote to do so, he may not be able to block or delay a willing witness. @charlie_savage explains:  https://t.co/lTcRyJcWwu",Washington Bureau,2020-01-26 22:38:06,Politics
nytpolitics,"Joe Biden has now been endorsed by 2 of Iowa's Democrats in Congress. The latest: Rep. Cindy Axne, a freshman who flipped a district that President Trump carried in 2016. https://t.co/9LKLOTWf5u",Washington Bureau,2020-01-26 22:08:02,Politics
nytpolitics,"Bernie Sanders has opened up a lead in Iowa in the race for the Democratic presidential nomination, a New York Times/Siena College poll of likely caucusgoers found https://t.co/irwTRMTd3c",Washington Bureau,2020-01-26 21:38:07,Politics
nytpolitics,"U.S. Secretary of State Mike Pompeo on Saturday responded to an NPR account that he lashed out after an interview and challenged a reporter to find Ukraine on a map. “It is worth noting that Bangladesh is NOT Ukraine,"" he said at the end of his statement. https://t.co/yIoWAAkzVB",Washington Bureau,2020-01-26 21:08:03,Politics
