user,text,location,date,topic
DiscoverMag,"As Baby Boomers get older, new tech like robotics, artificial intelligence and automation could help deliver care to more people with fewer resources. https://t.co/Z303KUdRG5",Between gluons and galaxies,2020-01-28 21:00:31,Science
DiscoverMag,Scientists suggest that chimps pick trees that make specific sounds as a possible method of communication. https://t.co/FxXoyA7Ytw,Between gluons and galaxies,2020-01-28 20:30:15,Science
DiscoverMag,When and how to eat is the cornerstone of many diets. But the advice often conflicts. https://t.co/ddb7GIAlKN,Between gluons and galaxies,2020-01-28 20:00:36,Science
DiscoverMag,It's not just a myth. Slurping soup or sipping tea may have actual health benefits that help us heal. https://t.co/eS4MQ2irpL,Between gluons and galaxies,2020-01-28 19:30:14,Science
DiscoverMag,Studies show little evidence that eating a morning meal helps us lose weight. https://t.co/z2LxhuJ6Td,Between gluons and galaxies,2020-01-28 19:00:35,Science
DiscoverMag,"We know the effects of the planets spinning, but why do they do it? https://t.co/N1GjkwNdCI",Between gluons and galaxies,2020-01-28 18:30:13,Science
DiscoverMag,"Stars come in many sizes and flavors, from those as small as Saturn to some still theoretical. https://t.co/F6neucoAJ8",Between gluons and galaxies,2020-01-28 18:00:41,Science
DiscoverMag,"“If you look at all the risk factors, so many of them are associated with the way we live.” https://t.co/b8iv8vY1HW",Between gluons and galaxies,2020-01-28 17:30:13,Science
DiscoverMag,Are we close to conquering one of the most puzzling diseases of our time? https://t.co/WUo5fGQ56W,Between gluons and galaxies,2020-01-28 17:00:45,Science
DiscoverMag,A growing body of evidence suggests that fasting may actually help alleviate Alzheimer’s symptoms and slow cognitive decline. https://t.co/Lcvt1TdKp6,Between gluons and galaxies,2020-01-28 16:30:14,Science
DiscoverMag,"Winter can be dreary, but one study found no associations between depression and season, latitude, a combination of the two, or sunlight exposure. https://t.co/WikY1yGiFf",Between gluons and galaxies,2020-01-28 16:00:40,Science
DiscoverMag,Pain comes in more than one form — and we may need to treat them all differently. https://t.co/VXZh8tELZ7,Between gluons and galaxies,2020-01-28 15:30:13,Science
DiscoverMag,"The Australian crater Yarrabubba is the oldest known on Earth, according to new measurements, and it might be linked to the end of a “Snowball Earth” ice age. https://t.co/ja1HFGLxbl",Between gluons and galaxies,2020-01-28 15:00:39,Science
DiscoverMag,Stress makes your hair turn gray. But is there actually a correlation between stress and losing the natural color of your locks? https://t.co/ohNA2v32Nf,Between gluons and galaxies,2020-01-28 14:00:42,Science
DiscoverMag,"Combine sand, gelatin and bacteria, let them rest and watch one brick turn into eight. https://t.co/oiorNQp7kt",Between gluons and galaxies,2020-01-28 13:30:12,Science
DiscoverMag,We didn't evolve to be happy all the time. https://t.co/ToKpiNjFNE,Between gluons and galaxies,2020-01-28 13:00:30,Science
DiscoverMag,Do dolphins really possess an unusual level of intelligence that sets them apart from the rest of the animal kingdom? https://t.co/SQzTdLGoUj,Between gluons and galaxies,2020-01-28 12:30:12,Science
DiscoverMag,Scientists discover what causes these rocky formations in the gallbladder. https://t.co/qGvmYE9NTq,Between gluons and galaxies,2020-01-28 12:00:39,Science
DiscoverMag,"Is a shared false memory a ""glitch in the matrix,"" or is there some other explanation for what’s happening? https://t.co/TcDZ16uxYh",Between gluons and galaxies,2020-01-28 11:30:25,Science
DiscoverMag,A look at how animals deal with death https://t.co/lbCLSK63D3,Between gluons and galaxies,2020-01-28 11:00:39,Science
DiscoverMag,These products tend to claim they’ll boost health by tweaking your gut bacteria. But a new pair of studies claim that probiotics may not actually do that much good. https://t.co/PPey4f3Dfb,Between gluons and galaxies,2020-01-28 10:00:20,Science
DiscoverMag,"Reader question: If what we see out there is old, how can we know what the cosmos looks like right now? https://t.co/gi3FlX08Y7",Between gluons and galaxies,2020-01-28 09:30:22,Science
DiscoverMag,"It is almost the exact same age as our planet, and gets its warmth from an identical star. https://t.co/smHCXUuV4F",Between gluons and galaxies,2020-01-28 09:00:23,Science
DiscoverMag,The real impact of climate change depends on tiny organisms we can’t even see: https://t.co/JupymsWnbq,Between gluons and galaxies,2020-01-28 08:30:14,Science
DiscoverMag,"If we were to find life elsewhere, whether microbes in our solar system or more complex beings farther away, how would we recognize it? https://t.co/UGJ6HkYz3D",Between gluons and galaxies,2020-01-28 08:00:15,Science
DiscoverMag,It's the absolute nadir of our universe's thermometer. And it gets pretty weird down there. https://t.co/uCqDwfWI4O,Between gluons and galaxies,2020-01-28 07:30:15,Science
DiscoverMag,Can we vibrate ourselves healthy? https://t.co/A6a2Mdnjrz,Between gluons and galaxies,2020-01-28 07:00:17,Science
DiscoverMag,"Nearly 100 years after quantum mechanics was introduced, scientists still don’t agree on what it means https://t.co/EidCBvHLkO",Between gluons and galaxies,2020-01-28 06:30:13,Science
