user,text,location,date,topic
sciencemagazine,"New research in mice finds a key neuron in the basal ganglia that commands both sleep and immobility, helping scientists unravel more about one of the biggest mysteries of sleep. https://t.co/4DWiBFjR36 #SciMagPerspective #Neuroscience https://t.co/GLwzh5G8io","Washington, DC & Cambridge, UK",2020-01-28 19:00:08,Science
sciencemagazine,A new #SciMagReview discusses the “exposome” concept conceived in 2005 as a way of understanding the non-genetic factors associated with disease and health related to chemical exposures. Read more: ($) https://t.co/nBmPLAA6yd #Chemistry #Biology https://t.co/fBzOTFVh8G,"Washington, DC & Cambridge, UK",2020-01-28 17:30:29,Science
sciencemagazine,"Neolithic teeth found in present-day Iberia show that being buried differently reflected a cultural difference, not societal status. Read more in @ScienceAdvances: https://t.co/Pkw6K9maoR https://t.co/jA3Xjs1peO","Washington, DC & Cambridge, UK",2020-01-28 16:00:13,Science
sciencemagazine,"By manipulating the immune response at the site of a mosquito bite, scientists have devised a topical treatment that protects mice and human skin from infections with #Zika virus, #dengue and other mosquito-transmitted diseases. @ScienceTM https://t.co/enAgpR4rKg https://t.co/qACnZU3WSG","Washington, DC & Cambridge, UK",2020-01-28 15:00:14,Science
sciencemagazine,"""How do we get more folks into science? Let's start by not running them off.""

This week's #SciMagEditorial on science education and the need for change by @hholdenthorp. https://t.co/cGg6n5gYbS https://t.co/tGy2dhfugu","Washington, DC & Cambridge, UK",2020-01-28 14:30:11,Science
sciencemagazine,"A new #LetterToScience calls on China to change its panda loan terms: ""The current loan arrangements should be updated to ensure that they are furthering the goals of species protection, scientific research, and cultural exchanges."" ($) https://t.co/BiRa2GOhsa https://t.co/jxsRmNAMxk","Washington, DC & Cambridge, UK",2020-01-28 10:00:09,Science
sciencemagazine,A new Science study provides answers about the curious supreme brightness of the superluminous supernova SN 2006gy—one of the brightest stellar explosions ever studied. ($) https://t.co/yvbUlDZJlK #Astronomy https://t.co/X5wDuF2nXB,"Washington, DC & Cambridge, UK",2020-01-28 08:30:07,Science
sciencemagazine,New research points to active regulation of naïve T cell quiescence as a critical mechanism for the prevention of #autoimmunity. Learn more in this #SciMagPerspective: ($) https://t.co/HhrkNGh6mT #Immunology https://t.co/55szSshFiz,"Washington, DC & Cambridge, UK",2020-01-28 05:30:05,Science
sciencemagazine,"From the February 2018 issue of @SciRobotics: Check out these artificial #snake skins by @wyssinstitute, @hseas that allowed otherwise immobile #robots to crawl away:  https://t.co/puPJRsuFqx ($) https://t.co/EhHy7fYlae","Washington, DC & Cambridge, UK",2020-01-28 04:00:48,Science
sciencemagazine,"In a new Science study, cryogenic super-resolution fluorescence and electron microscopy reveals protein-ultrastructure relationships in whole cells. Read more: ($) https://t.co/8yI3l8fx62 https://t.co/GkfFqhdy0R","Washington, DC & Cambridge, UK",2020-01-28 02:30:06,Science
sciencemagazine,"From epic space operas to rules for robots, Isaac Asimov’s legacy, and his books, endure. @SciMagBooks https://t.co/goocxYjsYJ","Washington, DC & Cambridge, UK",2020-01-27 22:00:07,Science
sciencemagazine,What we can learn from the past—and what to consider in the future of chemicals in the #environment: ($) https://t.co/jzShb2TaKw #SciMagReview https://t.co/UxL0IuAS2T,"Washington, DC & Cambridge, UK",2020-01-27 20:30:07,Science
sciencemagazine,".@UWMedicine researchers have discovered a DNA sensing pathway that defends against #viruses in human cells and acts independently of the protein STING, the well-known DNA sensor. This pathway is not present mouse cells. https://t.co/5ZFMcVULFP

New in @SciImmunology. https://t.co/RC7L6AaJtW","Washington, DC & Cambridge, UK",2020-01-27 20:00:07,Science
sciencemagazine,"“When life gives you lemons, make lemonade.” 

In this week's #SciMagWorkingLife, a scientist reflects back to when he was fired by his #PhD advisor—and how he moved on. https://t.co/mEZZMC38Kv","Washington, DC & Cambridge, UK",2020-01-27 17:30:04,Science
sciencemagazine,"Brain region-specific organoids have allowed researchers to peer inside the complex programming of human forebrain development, a process once inaccessible to molecular study.  Learn more in the research from Science: https://t.co/8ZdMMptOEK https://t.co/rWuj87VhME","Washington, DC & Cambridge, UK",2020-01-27 14:30:08,Science
sciencemagazine,"By uncovering more about what gives #birds unparalleled control over flight, two new studies in @SciRobotics and #ScienceMagazine pave the way to flying #robots that can maneuver the air as nimbly as birds: 
https://t.co/zo5mOYE2rk
https://t.co/knvUM5PkFz https://t.co/G9LfcQmstb","Washington, DC & Cambridge, UK",2020-01-27 10:00:30,Science
sciencemagazine,Active control of vesicle water content ensures that cell size is maintained when extracellular fluid is taken up. Read more about how water loss regulates cell and vesicle volume in this #SciMagPerspective: ($) https://t.co/Ideb0bvg5o #CellBiology https://t.co/uNmcjXk9vD,"Washington, DC & Cambridge, UK",2020-01-27 07:00:11,Science
sciencemagazine,"A new biodegradable, synthetic nerve conduit repairs large nerve gaps in macaques, and could provide an alternative to autografts for patients with severe nerve injuries. @ScienceTM #NerveRegeneration https://t.co/yzq5H6JkMS https://t.co/lWaECJIO77","Washington, DC & Cambridge, UK",2020-01-27 07:00:11,Science
sciencemagazine,"Negative checkpoint regulator VISTA keeps naïve T cells quiescent and in line and serves as a critical immunoregulatory mechanism for the prevention of autoimmunity, according to a new Science study. Learn more: ($) https://t.co/J7zobUi93G #Immunology https://t.co/XCV7wbl2vA","Washington, DC & Cambridge, UK",2020-01-27 05:30:05,Science
sciencemagazine,"Scientists have identified fungi fossils in shale rock from the Democratic Republic of Congo that may represent the oldest of their kind, pushing back the evidence for the earliest fungi to between 715 and 810 million years old. @ScienceAdvances https://t.co/NlBtCzWeDX https://t.co/Ns0KOZnAdh","Washington, DC & Cambridge, UK",2020-01-26 21:00:06,Science
sciencemagazine,"Currently, tracking groups of chemicals and the toxicological effects of the products they inadvertently create when combined is a great challenge. To address this, a new #SciMagReview proposes a novel approach. Read more: ($) https://t.co/BSqGRtKdbk https://t.co/sIjGuPE9dX","Washington, DC & Cambridge, UK",2020-01-26 19:00:11,Science
sciencemagazine,"How can being a rock climber (or a baker, or a stand-up comedian, or...) make you a better researcher? 

Scientists share their thoughts (and their hobbies) in this #NextGenSci: https://t.co/v8JoesyzJ2 https://t.co/Obx8Iq6htf","Washington, DC & Cambridge, UK",2020-01-26 15:00:10,Science
sciencemagazine,"""Don’t go nuts and delete your dissertation or anything, but if you find yourself applying for a job that doesn’t require a Ph.D., think carefully how you portray yours."" 

Read more in this #ExpermentalError column from @ScienceCareers. https://t.co/PPWG1kk4Vu","Washington, DC & Cambridge, UK",2020-01-25 21:00:04,Science
sciencemagazine,New research shows that a particular instrument can deconvolve femtosecond electron dynamics with nanoscale resolution—a demonstration of “light-wave electronics” at atomic scales that is unprecedented. Learn more: ($) https://t.co/3ofZBTEkoU #SciMagPerspective #Physics https://t.co/EsERe9wRxu,"Washington, DC & Cambridge, UK",2020-01-25 15:00:08,Science
sciencemagazine,"How do drugs, fragrances and cosmetics lead to contact #dermatitis? A new @BrighamWomens, @ColumbiaPS, @MonashUni study in @SciImmunology investigates: https://t.co/PH8aTxMctl #allergy ($) https://t.co/EBZ5wxFgsy","Washington, DC & Cambridge, UK",2020-01-25 04:00:06,Science
sciencemagazine,"A new #SciMagPolicyForum urges policymakers focused on protecting the #MarineEnvironment to include so-called mobile marine protected areas, which account for the highly dynamic nature of high seas habitats and species, among their management tools. https://t.co/jbjYGnuy3p https://t.co/ixW6fiZ64u","Washington, DC & Cambridge, UK",2020-01-25 02:30:06,Science
sciencemagazine,"A new book presents a novel model for explaining and responding to campus sexual assault. Read the review of ""Sexual Citizens: A Landmark Study of Sex, Power, and Assault on Campus"" from @SciMagBooks. https://t.co/0pw9P5fOc7","Washington, DC & Cambridge, UK",2020-01-24 22:00:05,Science
sciencemagazine,Scientists have discovered how epidermal growth factor changes the conformations of signaling molecules so that they can be chemically modified by reactive oxygen species. @SciSignal #RedoxBiology https://t.co/oNkp7FHBzV https://t.co/JZc9OiSoN0,"Washington, DC & Cambridge, UK",2020-01-24 21:15:07,Science
sciencemagazine,"As part of a special issue on #chemicals for #TomorrowsEarth, the Science Podcast has two green #chemistry stories this week:
🔬Getting BPA out of food containers
🔎Tracing complex mixtures of humanmade chemicals in the environment.
🎙Listen here: https://t.co/fUKubG440X","Washington, DC & Cambridge, UK",2020-01-24 20:30:08,Science
sciencemagazine,"By studying ancient micrometeorites and modeling their entry into the early atmosphere, a study in @ScienceAdvances has found that the air on Earth may have been more than 70% carbon dioxide when life first formed (versus .04% today). Read more: https://t.co/gxuMf4KySk https://t.co/eZmVtg3bKa","Washington, DC & Cambridge, UK",2020-01-24 19:00:11,Science
sciencemagazine,Understanding how glial cells respond to #stress and what neuropeptides they secrete may help identify specific therapeutic interventions to maintain or rebalance these pathways during #aging and age-related diseases. ($) https://t.co/LhyMSX2FuN #SciMagPerspective https://t.co/kboZQQehaJ,"Washington, DC & Cambridge, UK",2020-01-24 17:30:11,Science
sciencemagazine,"This week's Special Issue of Science charts a path towards a cleaner and greener future for the chemical industry on which we all rely, while reckoning with the hazardous legacy left in its wake. Read more: https://t.co/EEquhLKEo6 #TomorrowsEarth https://t.co/tjuVHEyKl4","Washington, DC & Cambridge, UK",2020-01-24 14:30:12,Science
sciencemagazine,There’s no one correct way to seek anonymous feedback from people under your supervision. But here are a few tips based on things that worked—or didn’t work—for the professors @ScienceCareers spoke with. #NationalMentoringMonth https://t.co/T2W7d9Vo1D,"Washington, DC & Cambridge, UK",2020-01-24 10:00:06,Science
sciencemagazine,Music is ubiquitous—but do societies around the world use similar building blocks to construct their songs? Researchers dove into detailed descriptions and samples of songs to understand what universal traits underlie music. https://t.co/spbWbKHTga,"Washington, DC & Cambridge, UK",2020-01-24 09:30:05,Science
sciencemagazine,"Rapid decay of the Sun’s powerful magnetic fields can release enough energy to power the eruptions known as solar flares, according to a new Science study, which reports the first direct evidence of the long-speculated source of the solar explosions. https://t.co/rpZwzPLamJ https://t.co/AXfJ8tPQG6","Washington, DC & Cambridge, UK",2020-01-24 07:00:07,Science
sciencemagazine,"Why does bullying behavior thrive in academia, how does it impact research, and what can be done about it? @MoriMahmoudi of @AcademicParity examines the data in a quest for solutions. Read the @ScienceCareers article sponsored by @MSUMD and @WakeForest: https://t.co/sDRX6uM2Sq","Washington, DC & Cambridge, UK",2020-01-24 05:30:03,Science
sciencemagazine,"At last, a model that demonstrates how #malaria obstructs blood flow has been published in @ScienceAdvances, which could help scientists develop treatments for malaria, sickle cell disease, type 2 #diabetes, and other blood-related disorders. https://t.co/rvyWDJoVu1 https://t.co/YoyKsSx9OS","Washington, DC & Cambridge, UK",2020-01-24 04:00:08,Science
sciencemagazine,"""Prohibition taught society to be cautious about bans. It is deceptively simple to criminalize a hazardous activity. But bans can create unforeseen social and political risks."" This week's #SciMagEditorial on bans and modern public health. https://t.co/2i8nhaZdeD https://t.co/g3kwgujGhX","Washington, DC & Cambridge, UK",2020-01-24 02:30:06,Science
sciencemagazine,"A new biodegradable, synthetic nerve conduit repairs large nerve gaps in macaques, and could provide an alternative to autografts for patients with severe nerve injuries. @ScienceTM #NerveRegeneration https://t.co/yzq5H6JkMS https://t.co/C45CQPnpsP","Washington, DC & Cambridge, UK",2020-01-23 23:30:06,Science
sciencemagazine,"A new #LetterToScience calls on China to change its panda loan terms: ""The current loan arrangements should be updated to ensure that they are furthering the goals of species protection, scientific research, and cultural exchanges."" ($) https://t.co/BiRa2GOhsa https://t.co/ZELijrdjU8","Washington, DC & Cambridge, UK",2020-01-23 22:00:08,Science
sciencemagazine,A new Science study provides answers about the curious supreme brightness of the superluminous supernova SN 2006gy—one of the brightest stellar explosions ever studied. ($) https://t.co/yvbUlDZJlK #Astronomy https://t.co/POBIsbHP2p,"Washington, DC & Cambridge, UK",2020-01-23 20:30:09,Science
sciencemagazine,"The origin behind one of the brightest stellar explosions ever studied, modeling human forebrain development through organoids, and charting a path towards a cleaner and greener future for the chemical industry in this special issue of Science. https://t.co/YatJ3q6n0C https://t.co/Ug3KdWzolp","Washington, DC & Cambridge, UK",2020-01-23 19:05:07,Science
sciencemagazine,New research points to active regulation of naïve T cell quiescence as a critical mechanism for the prevention of #autoimmunity. Learn more in this #SciMagPerspective: ($) https://t.co/HhrkNGh6mT #Immunology https://t.co/BZStkkfUex,"Washington, DC & Cambridge, UK",2020-01-23 17:30:10,Science
sciencemagazine,"From the February 2018 issue of @SciRobotics: Check out these artificial #snake skins by @wyssinstitute, @hseas that allowed otherwise immobile #robots to crawl away:  https://t.co/puPJRsuFqx ($) https://t.co/vhPaNFngTs","Washington, DC & Cambridge, UK",2020-01-23 16:38:57,Science
sciencemagazine,"In a new Science study, cryogenic super-resolution fluorescence and electron microscopy reveals protein-ultrastructure relationships in whole cells. Read more: ($) https://t.co/8yI3l8fx62 https://t.co/NzJ5SB0rGZ","Washington, DC & Cambridge, UK",2020-01-23 14:30:09,Science
sciencemagazine,"Using single-molecule imaging, researchers have determined how the inflammatory cell surface receptor TNFR1 clusters differently after being stimulated. @SciSignal #Inflammation https://t.co/v9OwG1BMIV https://t.co/wEBWl3kvOV","Washington, DC & Cambridge, UK",2020-01-23 10:00:14,Science
sciencemagazine,"By combining fossils with modern #MachineLearning and one of the world’s most powerful supercomputers, a new Science study has created a record of Paleozoic #biodiversity in which the age of average fossil layers can be resolved to within 26,000 years. ($) https://t.co/KJKRG5S6vQ https://t.co/hWmxZ426VI","Washington, DC & Cambridge, UK",2020-01-23 08:30:03,Science
sciencemagazine,"Messy cell death triggers the dangerous side of CAR T cell #immunotherapy, found scientists from the Chinese Academy of #Medical Sciences in @SciImmunology: https://t.co/BVxOmBK0J9 https://t.co/16UM6qpsFg","Washington, DC & Cambridge, UK",2020-01-23 07:00:10,Science
sciencemagazine,"""To fairly evaluate a scientist’s CV, it’s important to understand their full journey—children and all."" A professor writes in this #SciMagWorkingLife about how she discussed her daughter’s health complications when she interviewed for faculty positions. https://t.co/dP5SgZ8Ftf","Washington, DC & Cambridge, UK",2020-01-23 05:30:02,Science
sciencemagazine,An overview of an exotic type of liquid: read more in this #SciMagReview on theoretical and experimental progress in the arena of quantum spin liquids. ($) https://t.co/ORvv4UXiKQ #Physics #Chemistry https://t.co/eK5fOADZZF,"Washington, DC & Cambridge, UK",2020-01-23 02:30:04,Science
sciencemagazine,"By uncovering more about what gives #birds unparalleled control over flight, two new studies in @SciRobotics and #ScienceMagazine pave the way to flying #robots that can maneuver the air as nimbly as birds: 
https://t.co/zo5mOYE2rk
https://t.co/knvUM5PkFz https://t.co/HlTV5YfdOX","Washington, DC & Cambridge, UK",2020-01-22 22:00:31,Science
sciencemagazine,Active control of vesicle water content ensures that cell size is maintained when extracellular fluid is taken up. Read more about how water loss regulates cell and vesicle volume in this #SciMagPerspective: ($) https://t.co/Ideb0bvg5o #CellBiology https://t.co/SGlJhwswr6,"Washington, DC & Cambridge, UK",2020-01-22 19:00:07,Science
sciencemagazine,"Its the final week!  Applications deadline is Jan 24!

Don't miss your chance to be the winner of the  2020 NOSTER &amp; Science Microbiome Prize. The grand prize is $25,000 (US). 

https://t.co/3qrAgnIkq7 #NosterSciencePrize https://t.co/jmOJO1rwuM","Washington, DC & Cambridge, UK",2020-01-22 18:00:11,Science
sciencemagazine,"Negative checkpoint regulator VISTA keeps naïve T cells quiescent and in line and serves as a critical immunoregulatory mechanism for the prevention of autoimmunity, according to a new Science study. Learn more: ($) https://t.co/J7zobUi93G #Immunology https://t.co/gAOKu6d8iB","Washington, DC & Cambridge, UK",2020-01-22 17:00:13,Science
sciencemagazine,"How do drugs, fragrances and cosmetics lead to contact #dermatitis? A new @BrighamWomens, @ColumbiaPS, @MonashUni study in @SciImmunology investigates: https://t.co/PH8aTxMctl #allergy ($) https://t.co/wEErVoiKKm","Washington, DC & Cambridge, UK",2020-01-22 16:00:41,Science
