user,text,location,date,topic
BBCSport,"GOAL! Aston Villa 1-1 Leicester City (2-2 agg). 

Kelechi Iheanacho levels it for the Foxes, and yet again... it's anybody's tie!

Live: https://t.co/56pLb49nFb

#AVLLEI #bbcfootball https://t.co/Vg1TYpqSxJ","MediaCityUK, Salford",2020-01-28 21:15:06,Sport
BBCSport,"Wayne Rooney has just scored his first Derby County goal...
 
And Leeds have come from two goals down to lead against Millwall!

Live scores in full: https://t.co/hx2NR8rQBk 

#BBCFootball #bbcefl https://t.co/RVorbKDfBV","MediaCityUK, Salford",2020-01-28 21:13:35,Sport
BBCSport,"Back under way at Villa Park!

Aston Villa 1-0 Leicester City (2-1 agg). 

Live: https://t.co/56pLb49nFb

#AVLLEI #bbcfootball https://t.co/7Q8I8JHDwg","MediaCityUK, Salford",2020-01-28 20:48:04,Sport
BBCSport,"Deontay Wilder says Tyson Fury has made a ""mistake by tinkering"" with his training for their 22 February rematch.

More: https://t.co/P4jWXBH09M https://t.co/IHbTvXWwVb","MediaCityUK, Salford",2020-01-28 20:40:00,Sport
BBCSport,"HT! Aston Villa 1-0 Leicester City (2-1 agg). 

#AVFC lead at the break thanks to Matt Targett, and are just 45 minutes away from the Carabao Cup final... can they hold on?

Live: https://t.co/56pLb49nFb

#AVLLEI #BBCFootball https://t.co/RMENQP6lmq","MediaCityUK, Salford",2020-01-28 20:33:20,Sport
BBCSport,"The #FACup fourth round provided 40 goals over the weekend and you've voted for the best of the bunch.

Find out the results here: https://t.co/8SONGpCgRM

#bbcfootball https://t.co/BtyIa8xeJU","MediaCityUK, Salford",2020-01-28 20:25:00,Sport
BBCSport,"In the Championship as the half hour mark approaches... ⏱ 

It's level in the game between Blackburn and QPR...

Nottingham Forest are ahead at Brentford, and Millwall are 2-0 up at Leeds.

Live scores in full: https://t.co/hx2NR8rQBk 

#BBCFootball #bbcefl https://t.co/kkZsYlBFNl","MediaCityUK, Salford",2020-01-28 20:17:52,Sport
BBCSport,"Cardiff City has passed on details to prosecutors in France to consider whether FC Nantes has a case to answer over the death of Emiliano Sala.

In full: https://t.co/h5NzgIqiIV https://t.co/HGe5qDR32t","MediaCityUK, Salford",2020-01-28 20:00:00,Sport
BBCSport,"GOAL! Aston Villa 1-0 Leicester City (2-1 agg).

Careful thinking from Jack Grealish to give Matt Targett chance to finish.

Follow live: https://t.co/56pLb49nFb

#AVLLEI #BBCFootball https://t.co/fYpuPqMWY6","MediaCityUK, Salford",2020-01-28 19:58:18,Sport
BBCSport,"Coming up.. The Six Day Series Berlin (day six) 🚴‍♂️

Men's: Madison chase; team elimination race; 60-lap derny; madison time trial; The Final Chase.

Sprinters: Flying time trial; sprint finals; keirin finals.

Stayers: 80-lap stayers race.

Watch: https://t.co/Qdrpu6vJN1 https://t.co/w02YAqUKDg","MediaCityUK, Salford",2020-01-28 19:50:00,Sport
