user,text,location,date,topic
NYDNSports,"Ron Darling, Edgardo Alfonzo and Jon Matlack to be inducted into 2020 Mets Hall of Fame
https://t.co/PygjB9ckl4 @deeshathosar https://t.co/WI4gBlQpC0",New York City,2020-01-28 20:43:55,Sport
NYDNSports,Chiefs QB Patrick Mahomes is on a fast track to immortality as he preps for his first Super Bowl https://t.co/fip46edKR4 @FourVerts https://t.co/54ZghqnwXm,New York City,2020-01-28 20:18:18,Sport
NYDNSports,Spencer Dinwiddie changes number as part of effort to ‘informally’ retire Kobe Bryant’s No. 8 and No. 24: report https://t.co/E9mzN5KzFN https://t.co/oUHFhydepS,New York City,2020-01-28 19:47:32,Sport
NYDNSports,"Dusty Baker replaces suspended A.J. Hinch as Astros manager: report
https://t.co/2a4XkGGxvF @_beewilly https://t.co/Bb758wLTDY",New York City,2020-01-28 18:26:45,Sport
NYDNSports,"3 potential landing spots for Philip Rivers as Chargers run appears to be over
https://t.co/0uvrMnrXX8 @FourVerts https://t.co/fZVSa9a0BU",New York City,2020-01-28 17:13:13,Sport
NYDNSports,Jeff McNeil expected to make third base his permanent home in 2020 https://t.co/pfsPDtsLfz @deeshathosar https://t.co/Ja8n6hdNuT,New York City,2020-01-28 16:10:11,Sport
NYDNSports,Kobe Bryant’s star power was global: Novak Djokovic the latest to get emotional talking about his relationship with NBA legend https://t.co/HtkClnA6wX https://t.co/gKC1V2cmY3,New York City,2020-01-28 15:55:07,Sport
NYDNSports,Roger Federer saves 7 match points in Australia; Novak Djokovic up next https://t.co/1z6zSppJRJ https://t.co/4ul5UxCjsg,New York City,2020-01-28 14:53:41,Sport
NYDNSports,Washington Post suspends reporter for tweeting about Kobe Bryant’s rape case. https://t.co/ZqrPh2AusW,New York City,2020-01-28 14:50:05,Sport
NYDNSports,UConn women’s basketball team honors Kobe Bryant’s daughter Gigi after death https://t.co/YkGRqnciAp @kateefeldman https://t.co/LkwKpyl0k6,New York City,2020-01-28 14:41:33,Sport
NYDNSports,LeBron James ‘heartbroken and devastated’ by death of Kobe Bryant. https://t.co/dgzNYAZ5MQ,New York City,2020-01-28 12:48:06,Sport
NYDNSports,First Eli Manning retired. Now the Chargers and Philip Rivers are heading their separate ways. https://t.co/GFMuDBo187 @PLeonardNYDN,New York City,2020-01-28 11:47:07,Sport
NYDNSports,Kenny Atkinson’s last memory of Bryant was during one of the Black Mamba’s visits to Barclays Center this season. Atkinson didn’t think Bryant knew who he was. https://t.co/3jZzk6xOCP @Krisplashed https://t.co/PhFNUOd3bF,New York City,2020-01-27 23:10:31,Sport
NYDNSports,NBA postpones Tuesday’s Lakers-Clippers game in wake of Kobe Bryant’s death https://t.co/WdcdgJTC0l,New York City,2020-01-27 22:50:08,Sport
NYDNSports,Umpires to wear NFL style mics to communicate instant replay review: report https://t.co/f9l8587vAs @_beewilly https://t.co/3ilhKIp07z,New York City,2020-01-27 21:06:32,Sport
NYDNSports,Allen Iverson says he went to the club while Kobe went to the gym https://t.co/huk5wkHoim @dpyoung13 https://t.co/KjbggLO3o6,New York City,2020-01-27 20:40:35,Sport
NYDNSports,Washington Post suspends reporter for tweeting about Kobe Bryant’s rape case: https://t.co/xzyeqBYDYN https://t.co/vc5T4tj2Ow,New York City,2020-01-27 20:04:38,Sport
NYDNSports,You didn’t have to like Kobe to be crushed by his death: https://t.co/Y2oREniy66 @SBondyNYDN https://t.co/6ItFQYCzWk,New York City,2020-01-27 19:33:06,Sport
NYDNSports,College football coach suspended for praising Hitler’s leadership: https://t.co/SOPS8SytG0 https://t.co/cjqtlM6RxM,New York City,2020-01-27 18:54:14,Sport
NYDNSports,Kobe Bryant’s death was announced right before the start of the Pro Bowl and the players used the game as a tribute to the Lakers legend. https://t.co/NlUZgV5eYO @FourVerts https://t.co/mZRW2AQVRN,New York City,2020-01-27 17:53:18,Sport
NYDNSports,"NFL receiver Bennie Fowler preaches process, persistence in ‘Silver Spoon: The Imperfect Guide to Success’ https://t.co/9lrJqaP9FF @PLeonardNYDN https://t.co/9d4dvsUMsr",New York City,2020-01-27 17:10:08,Sport
NYDNSports,Kobe Bryant and Kyrie Irving’s relationship went deeper than basketball. https://t.co/8KKGzf7HKe,New York City,2020-01-27 13:53:02,Sport
NYDNSports,Kobe Bryant leaves behind one of sports’ most complicated legacies. https://t.co/84YWog5rB8,New York City,2020-01-27 12:52:04,Sport
NYDNSports,Taj Gibson couldn't believe Kobe Bryant had died. Nobody on the Knicks could. Superman isn’t supposed to die. https://t.co/E1ZLYEFE3v @SBondyNYDN,New York City,2020-01-27 11:50:03,Sport
NYDNSports,"The Knicks won their 13th game of the season and handed the Nets their sixth loss in seven games, but it was clear the outcome of the game was the last thing on anyone’s mind. https://t.co/Z3DjARTkRl @Krisplashed",New York City,2020-01-27 02:23:31,Sport
