user,text,location,date,topic
SkySportsNews,"""You will not see a pacier player than Bergwijn"" 🏃

Dutch journalist Marcel van der Kraan gives the #TransferTalk Podcast the inside track on Tottenham's expected arrival",England,2020-01-28 20:47:15,Sport
SkySportsNews,"All 2⃣0⃣ Premier League clubs covered in 3⃣ minutes 

Just three days to go until #DeadlineDay https://t.co/OSDBUNaIy1",England,2020-01-28 20:32:25,Sport
SkySportsNews,"""A deal is now close.. Man Utd are confident"" 

@SkyKaveh has the latest on Manchester United's improved bid for Bruno Fernandes. #TransferTalk 

Full story: https://t.co/TV3Zk3a8bA https://t.co/5XB6Mhl1Ma",England,2020-01-28 19:28:01,Sport
SkySportsNews,"🤝 The Transfer Show is LIVE 🤝

@JimWhite is joined by @SkyKaveh and @skysports_sheth to discuss imminent arrivals at Spurs and West Ham and Bruno Fernandes latest 

📺 Watch now live on Sky Sports News https://t.co/8ZcX6zyM46",England,2020-01-28 19:00:00,Sport
SkySportsNews,BREAKING: Manchester United make increased offer of £46.6million plus add-ons for Sporting midfielder Bruno Fernandes,England,2020-01-28 18:37:11,Sport
SkySportsNews,"@RomeluLukaku9 Listen to 'Romelu Lukaku: The King of Milan?' in full and subscribe to the Sky Sports Football Podcast 👇

📲 Apple: https://t.co/aoPtw5jp3u
📲 Spotify: https://t.co/sghWvm4L9u
📲 Castbox: https://t.co/wrf56lFI9Q https://t.co/pIGCQ4dvls",England,2020-01-28 18:18:55,Sport
SkySportsNews,"🇪🇸 Barcelona pounce as Man Utd miss out on Bruno Fernandes

🔴 Jurgen Klopp hits back at #FACup critics 

It's #ICYMI with @TAGHeuer! ⌚ https://t.co/ExQhqOEFM8",England,2020-01-28 17:48:37,Sport
SkySportsNews,"""I remember thinking 'Oh my God!'"" 😂

@RomeluLukaku9 relives the West Brom dressing room reaction to Peter Odemwingie's infamous #DeadlineDay saga with QPR",England,2020-01-28 17:28:27,Sport
SkySportsNews,Barcelona have opened talks over a deal to sign Manchester United target Bruno Fernandes - with a view to loaning him straight to Valencia,England,2020-01-28 15:35:39,Sport
SkySportsNews,"""What he has done with the problems we had - I am so happy to have him""  

Pep Guardiola hails Fernandinho after the Man City man penned a new one-year contract with the club 

More: https://t.co/F4ymslRDMT https://t.co/xbBTZh7AIC",England,2020-01-28 15:11:38,Sport
SkySportsNews,BREAKING: Man City confirm Fernandinho has signed a new one-year deal with the club,England,2020-01-28 15:00:41,Sport
