user,text,location,date,topic
ForbesTech,Two dead satellites could collide above the U.S. this week https://t.co/yvSxHfDMKK by @ericcmack,,2020-01-28 21:00:01,Tech
ForbesTech,"Kobe Bryant's death prompts more Facebook, Twitter discussion than Trump's impeachment https://t.co/jzCsYsiJJ8 by @MichaelFNunez",,2020-01-28 20:00:01,Tech
ForbesTech,What to expect from Alphabet's fourth quarter results https://t.co/MDlpfocmzd by @michaelmottcm,,2020-01-28 19:00:01,Tech
ForbesTech,"17 years after its founding, ActiveCampaign raises $100 million Series B round https://t.co/neodHys0HS by @kenrickcai",,2020-01-28 18:00:01,Tech
ForbesTech,A personal account of Apple's Macintosh launch - 36 years ago https://t.co/N1IzbcX7F4 by @bajarin,,2020-01-28 17:00:00,Tech
ForbesTech,Twitter's stock may plunge by 9% following quarterly results https://t.co/AkoOMpy5Pz by @michaelmottcm,,2020-01-28 16:00:01,Tech
ForbesTech,"UPDATED: Helicopter in Kobe Bryant crash considered a safe VIP aircraft, but flight conditions may have been difficult https://t.co/XIK6GMV4Mg by @jbogaisky",,2020-01-28 15:00:00,Tech
ForbesTech,What exactly is the space force? https://t.co/NvIe4PAcww,,2020-01-28 14:00:00,Tech
ForbesTech,RingCentral stock gains 54% in four months on new Avaya partnership https://t.co/hmIJQsmptR by @TechStockRadar,,2020-01-28 13:00:00,Tech
ForbesTech,Google's Pixel 4A beats Samsung with two features https://t.co/UPVR3XRfNM,,2020-01-28 11:00:00,Tech
ForbesTech,10 ways to own your cybersecurity in 2020 https://t.co/AsmcBhoE0T by @LouisColumbus,,2020-01-28 09:00:00,Tech
ForbesTech,Authorities seek lifetime ban for 'pharma bro' Martin Shkreli in new lawsuit https://t.co/ijIorkXj8C by @rachsandl,,2020-01-28 07:00:00,Tech
ForbesTech,Google is killing a tool that makes it easy to build business apps https://t.co/11gjAwS9PR by @krisholt,,2020-01-28 05:00:00,Tech
ForbesTech,Dozens of countries could reverse carbon emissions just by caring for nature https://t.co/pcSt4YY3pq by @jeffmcmahon_chi,,2020-01-28 04:00:00,Tech
ForbesTech,"UPDATED: Helicopter in Kobe Bryant crash considered a safe VIP aircraft, but flight conditions may have been difficult https://t.co/UVveD9wNds by @jbogaisky",,2020-01-28 03:00:00,Tech
ForbesTech,Airbnb sues Miami real estate developer it once gave rights to its name https://t.co/mSjx27nmio by @samsharf,,2020-01-28 02:00:00,Tech
ForbesTech,8 takeaways from the Davos day of innovation and solutions https://t.co/KGed1ebjEI by @RandallLane,,2020-01-27 17:00:00,Tech
ForbesTech,New Snapchat rival 'Octi' wants you to use your iPhone to scan faces https://t.co/z3ZTUMyNEg by @MichaelFNunez,,2020-01-27 16:00:00,Tech
ForbesTech,Infor CEO Kevin Samuelson: why we're specifically industry-specific https://t.co/so9l9kglUg by @Abridgwater,,2020-01-27 15:00:00,Tech
ForbesTech,Jeff Bezos added more money to his fortune than anyone else in America since Trump took office https://t.co/qLF35O4rrv by @AngelAuYeung,,2020-01-27 14:00:00,Tech
ForbesTech,The fake finger that could save fortunes: MIT spin-out raises $10 million for touch-inspired measurement tech https://t.co/vkHACPWrWl by @jbogaisky,,2020-01-27 13:00:01,Tech
ForbesTech,Space startup receives $35 million as it plans to fling satellites into orbit https://t.co/sOtJz0yKYi by @howellspace,,2020-01-27 12:00:00,Tech
ForbesTech,Workday shares perk up following last year's lackluster performance https://t.co/vCIlGPmyvd by @TechStockRadar,,2020-01-27 11:00:00,Tech
ForbesTech,The 5 biggest virtual and augmented reality trends in 2020 everyone should know about https://t.co/GHJhmKXtsO by @bernardmarr,,2020-01-27 09:00:00,Tech
ForbesTech,The Brazil tech and innovation roundup: VC investment reaches new high https://t.co/YbMzosO5GT by @angelicamari,,2020-01-27 07:00:00,Tech
ForbesTech,Elon Musk's net worth surges $1.7 billion as Tesla becomes world's second most valuable automaker https://t.co/SXkeiIZay8 by @HCuccinello,,2020-01-27 05:00:00,Tech
ForbesTech,The fake finger that could save fortunes: MIT spin-out raises $10 million for touch-inspired measurement tech https://t.co/k4HLob4sYx by @jbogaisky,,2020-01-26 17:00:01,Tech
ForbesTech,This New York startup just raised $25 million to challenge Atlassian https://t.co/WVSws6EjcM by @alexrkonrad,,2020-01-26 15:00:01,Tech
ForbesTech,8 takeaways from the Davos day of innovation and solutions https://t.co/hDYHvqrIPw by @RandallLane,,2020-01-26 13:00:00,Tech
ForbesTech,IBM's quarterly sales finally rose—but not by much https://t.co/A5inG42ymy by @martingiles,,2020-01-26 11:00:00,Tech
ForbesTech,Jeff Bezos added more money to his fortune than anyone else in America since Trump took office https://t.co/uz4YOxvE2L by @AngelAuYeung,,2020-01-26 09:00:00,Tech
ForbesTech,New Snapchat rival 'Octi' wants you to use your iPhone to scan faces https://t.co/6umu5AuwxY by @MichaelFNunez,,2020-01-26 07:00:00,Tech
ForbesTech,Esports training site ProGuides raises $5 million in seed funding https://t.co/4MmKkJABYK by @MattRyanPerez,,2020-01-26 05:00:00,Tech
ForbesTech,'Robo-umpires' try out for the MLB: how sports can shape the future of human-machine collaboration https://t.co/edx30HujQ3 by @marcoannunziata,,2020-01-25 17:00:01,Tech
ForbesTech,8 takeaways from the Davos day of innovation and solutions https://t.co/RRlgST5hWG by @RandallLane,,2020-01-25 15:00:01,Tech
ForbesTech,Elon Musk's net worth surges $1.7 billion as Tesla becomes world's second most valuable automaker https://t.co/Z7foMAjk0K by @HCuccinello,,2020-01-25 13:00:00,Tech
ForbesTech,Infor CEO Kevin Samuelson: why we're specifically industry-specific https://t.co/Rg62eXjHFR by @Abridgwater,,2020-01-25 11:00:01,Tech
ForbesTech,Police to deploy live facial recognition on London streets https://t.co/pgtDKgBbQI by @EmmaWoollacott,,2020-01-25 09:00:00,Tech
ForbesTech,Workday shares perk up following last year's lackluster performance https://t.co/YbbzchfMcF by @TechStockRadar,,2020-01-25 07:00:00,Tech
ForbesTech,The fake finger that could save fortunes: MIT spin-out raises $10 million for touch-inspired measurement tech https://t.co/GmPlBqLuvF by @jbogaisky,,2020-01-25 05:00:00,Tech
ForbesTech,Space startup receives $35 million as it plans to fling satellites into orbit https://t.co/6DJTVM3e4Q by @howellspace,,2020-01-25 03:00:00,Tech
ForbesTech,Sonos CEO apologizes for speaker update confusion https://t.co/BHuE7YMGRW by @paullamkin,,2020-01-25 01:00:01,Tech
ForbesTech,Elon Musk's net worth surges $1.7 billion as Tesla becomes world's second most valuable automaker https://t.co/EiD5o6rM3X by @HCuccinello,,2020-01-24 23:00:00,Tech
ForbesTech,ICYMI: IBM's quarterly sales finally rose—but not by much https://t.co/STVTLbobx2 by @martingiles,,2020-01-24 17:00:01,Tech
ForbesTech,Google promises to keep updating Chromebooks for 8 years https://t.co/RQilpaA1IM,,2020-01-24 16:00:01,Tech
ForbesTech,23andMe lays off 14% of workforce amid declining DNA test sales https://t.co/WKomhOoTdU by @rachsandl,,2020-01-24 15:00:01,Tech
ForbesTech,This startup thinks blockchain is the only thing that can save social media https://t.co/0svd4uU33j by @MichaelFNunez,,2020-01-24 14:03:11,Tech
ForbesTech,This New York startup just raised $25 million to challenge Atlassian https://t.co/lt7WZ20Rt0 by @alexrkonrad,,2020-01-24 13:00:01,Tech
ForbesTech,Digitizing the finger: Startup Gelsight hones measurement system that could speed up aerospace work https://t.co/oOBvgyI338 by @jbogaisky,,2020-01-24 12:00:00,Tech
ForbesTech,The Doomsday Clock is closer than ever to midnight—is anyone listening? https://t.co/5EhVpEizmZ by @sparkdialog,,2020-01-24 11:00:00,Tech
ForbesTech,Achievement unlocked: Canonical Anbox scales Android for cloud gaming https://t.co/2429DiWafg by @Abridgwater,,2020-01-24 09:00:00,Tech
ForbesTech,Mt. Vesuvius may have turned ancient Roman brains into glass https://t.co/P7pRWLhAGu by @DrKillgrove,,2020-01-24 07:00:00,Tech
ForbesTech,"Investing in Facebook, Apple, Netflix and Google is a big mistake right now, says one portfolio manager https://t.co/yBnKU10ySu by @skleb1234",,2020-01-24 05:00:00,Tech
ForbesTech,How founders can pay zero taxes on up to $10 million https://t.co/uvpvdF9KSY by @timy0ung,,2020-01-24 03:00:00,Tech
ForbesTech,"8,500 tweets and counting—Saudi trolls demand Amazon boycott after Bezos hack https://t.co/Ltj9pQW2z3 by @iblametom",,2020-01-24 02:00:00,Tech
ForbesTech,Can AI drive education forward? https://t.co/rYuGsSTPPi by @caro_milanesi,,2020-01-24 01:00:00,Tech
ForbesTech,Indy VC firm closes $52 million fund to further invest in Midwest tech https://t.co/Tcu2SdyvrT by @_LizEngel,,2020-01-24 00:00:01,Tech
ForbesTech,FedEx takes unprecedented step to warn customers on Twitter about text scam https://t.co/S13TlNTwHX by @jmbrandonbb,,2020-01-23 23:00:01,Tech
ForbesTech,This New York startup just raised $25 million to challenge Atlassian https://t.co/G3IN8Cb3vI by @alexrkonrad,,2020-01-23 22:00:00,Tech
ForbesTech,Digitizing the finger: Startup Gelsight hones measurement system that could speed up aerospace work https://t.co/LqKPslqtjJ by @jbogaisky,,2020-01-23 21:00:01,Tech
ForbesTech,23andMe lays off 14% of workforce amid declining DNA test sales https://t.co/3pAvTCGEZw by @rachsandl,,2020-01-23 20:30:59,Tech
ForbesTech,This startup thinks blockchain is the only thing that can save social media https://t.co/LHE6JljpTg by @MichaelFNunez,,2020-01-23 20:00:01,Tech
ForbesTech,Netflix's Q4 2019 U.S. subscriber 'miss': The storm after the calm? https://t.co/MHz0gTm82P by @pcsathy,,2020-01-23 17:00:01,Tech
ForbesTech,Cruise's origin: GM-backed startup debuts self-driving electric van for its robotaxi service https://t.co/q8HRw3MTls by @alanohnsman,,2020-01-23 16:00:01,Tech
ForbesTech,Is the wireless workforce ready for 5G? https://t.co/bFOut82Bze by @kecorb,,2020-01-23 15:00:00,Tech
ForbesTech,Email startup Front raises rare $59 million round led by other software founders https://t.co/7LBervsUqY by @alexrkonrad,,2020-01-23 14:00:00,Tech
ForbesTech,Google issues annual employee survey in shadow of growing secrecy https://t.co/kIy3tIs67I by @jillianiles,,2020-01-23 13:00:00,Tech
ForbesTech,IBM's quarterly sales finally rose—but not by much https://t.co/orYiNkUbzH by @martingiles,,2020-01-23 12:00:00,Tech
ForbesTech,"If Jeff Bezos' iPhone can be hacked over WhatsApp, so can yours https://t.co/bFr4nUbC5s by @iblametom",,2020-01-23 11:00:01,Tech
ForbesTech,What I wish I knew before owning Google's Pixel 4 XL https://t.co/Ke3G4vpbyW,,2020-01-23 09:00:00,Tech
ForbesTech,New Snapchat rival 'Octi' wants you to use your iPhone to scan faces https://t.co/H2WH3S8B4r by @MichaelFNunez,,2020-01-23 05:00:00,Tech
ForbesTech,Google issues annual employee survey in shadow of growing secrecy https://t.co/dzCW4Deqwj by @jillianiles,,2020-01-23 03:00:00,Tech
ForbesTech,Cruise's origin: GM-backed startup debuts self-driving electric van for its robotaxi service https://t.co/ydBh09pMnY by @alanohnsman,,2020-01-23 02:00:00,Tech
ForbesTech,IBM's quarterly sales finally rose—but not by much https://t.co/YVBBkYhg1X by @martingiles,,2020-01-23 01:00:00,Tech
ForbesTech,Motorola's Razr suddenly reappears weeks before Samsung launch https://t.co/R03KA13Bk1,,2020-01-23 00:00:06,Tech
