user,text,location,date,topic
TechCrunch,Modified HoloLens helps teach kids with vision impairment to navigate the social world https://t.co/KGN0PmdNRc https://t.co/HxJFEK0pAY,"San Francisco, CA",2020-01-28 20:00:40,Tech
TechCrunch,"Join us as we tour GetYourGuide's new digs -- a converted 1930s power station in the East of the city -- and have a chat with co-founder and COO, Tao Tao, to talk about history, travel and GetYourGuide's future. https://t.co/0hAFWm6lKX","San Francisco, CA",2020-01-28 19:58:00,Tech
TechCrunch,Smartphone sales expected to get a slight bump in 2020 https://t.co/uy4azWFT4B by @bheater https://t.co/LVkGjsxlbu,"San Francisco, CA",2020-01-28 19:01:44,Tech
TechCrunch,Free Agency wants to give every tech worker a career and salary boost https://t.co/N9EFTimW2N https://t.co/5jKtoEyCMX,"San Francisco, CA",2020-01-28 19:00:27,Tech
TechCrunch,Daily Crunch: Facebook expands privacy options https://t.co/O7mVD573vr by @anthonyha https://t.co/26xBpfqZxv,"San Francisco, CA",2020-01-28 18:15:02,Tech
TechCrunch,Just released: Last round of tickets to 3rd Annual Winter Party at Galvanize https://t.co/cSyFWaiJmK https://t.co/cm51ZbTaOX,"San Francisco, CA",2020-01-28 18:00:53,Tech
TechCrunch,GM adds automated lane changes to its hands-free Super Cruise driving system https://t.co/xnWAuiPF8f by @kirstenkorosec https://t.co/n0Mnx0P8kn,"San Francisco, CA",2020-01-28 17:57:28,Tech
TechCrunch,Five reasons you (really) don’t want to miss TechCrunch’s AI and Robotics show on March 3 https://t.co/pAQbGbXP9e https://t.co/LHPnpY7GPs,"San Francisco, CA",2020-01-28 17:57:04,Tech
TechCrunch,Virgin Orbit teams with ISI on rapid response satellite launch services for intelligence customers https://t.co/vSy4SFjPdp by @etherington https://t.co/fozaScbjRo,"San Francisco, CA",2020-01-28 17:55:36,Tech
TechCrunch,https://t.co/NZ2xaVX3se scores $50M Series B to modernize data governance https://t.co/GK7zZOz5Kv by @ron_miller https://t.co/Rjz1kumFZR,"San Francisco, CA",2020-01-28 17:07:20,Tech
TechCrunch,RealityEngines launches its autonomous AI service https://t.co/6bowU5SlWN by @fredericl https://t.co/pzZS7own0M,"San Francisco, CA",2020-01-28 17:02:11,Tech
TechCrunch,72 hours left to save $150 on tickets to TC Sessions: Robotics + AI 2020 https://t.co/vBw1bxCJBl https://t.co/LtV9GXc4Zi,"San Francisco, CA",2020-01-28 16:47:28,Tech
TechCrunch,Nutanix execs discuss how they built their 2016 IPO roadshow deck https://t.co/vgxPJTvXSu by @ron_miller https://t.co/46AILsy896,"San Francisco, CA",2020-01-28 16:34:39,Tech
