user,text,location,date,topic
thenextweb,124 years after the first speeding ticket and regulations still can’t keep up with tech https://t.co/4N4XXd6ASF,"Amsterdam, The Netherlands",2020-01-28 21:16:06,Tech
thenextweb,Quantum cognition theory explains why humans make stupid decisions (by @mrgreene1977) https://t.co/UrNgYDXaZG,"Amsterdam, The Netherlands",2020-01-28 21:02:05,Tech
thenextweb,Salty Mars water could hold proof of primitive life https://t.co/pUNpIzsqFr,"Amsterdam, The Netherlands",2020-01-28 20:19:06,Tech
thenextweb,SpaceX to launch 60 more Starlink internet satellites on Tuesday (by @mrgreene1977) https://t.co/hiNi42sooV,"Amsterdam, The Netherlands",2020-01-28 20:01:06,Tech
thenextweb,The EU’s dull-ass fight with Apple over the Lightning connector sucks (by @callumbooth) https://t.co/GyX1Wku84E,"Amsterdam, The Netherlands",2020-01-28 19:53:05,Tech
thenextweb,A line of Atari-branded gaming hotels are on their way to US cities (by @rachelkaser) https://t.co/Yoe1J3jdKW,"Amsterdam, The Netherlands",2020-01-28 19:49:06,Tech
thenextweb,YouTube nabs Activision esports streaming deal from Twitch (by @rachelkaser) https://t.co/IAMCjFGAdt,"Amsterdam, The Netherlands",2020-01-28 19:39:05,Tech
thenextweb,Amazon Engineer: ‘Ring should be shut down immediately and not brought back’ (by @mrgreene1977) https://t.co/ozuLVl8iKn,"Amsterdam, The Netherlands",2020-01-28 18:51:05,Tech
thenextweb,Dyson’s Lightcycle Morph is a versatile task light that kinda looks like a lightsaber (by @napilopez) https://t.co/tqyvEbc2Ab,"Amsterdam, The Netherlands",2020-01-28 18:46:06,Tech
thenextweb,Time travel is possible – but only if you have an object with infinite mass https://t.co/Ef3jvn8Ofe,"Amsterdam, The Netherlands",2020-01-28 18:44:06,Tech
thenextweb,Ring’s Android app reportedly sends data to third-party trackers (by @Indianidle) https://t.co/aOgeEKX26h,"Amsterdam, The Netherlands",2020-01-28 18:23:06,Tech
thenextweb,How to use Facebook’s ‘Off-Facebook Activity’ tool (by @rachelkaser) https://t.co/xtcP5a8PFk,"Amsterdam, The Netherlands",2020-01-28 18:07:05,Tech
thenextweb,You can now bother Google for tech support with #AndroidHelp (by @Mixtatiq) https://t.co/970m6yyk8t,"Amsterdam, The Netherlands",2020-01-28 17:58:06,Tech
thenextweb,Bill Gates owns a lot more Apple stock than you might think (by @yaron_yitzhak) https://t.co/TqxfzjziYr,"Amsterdam, The Netherlands",2020-01-28 17:54:06,Tech
thenextweb,RealityEngine’s AI could help small businesses overcome the data gap (by @mrgreene1977) https://t.co/e2gGVoOrfO,"Amsterdam, The Netherlands",2020-01-28 17:11:06,Tech
thenextweb,It’s 2020 and hacking wallets is still a PR stunt for cryptocurrency startups https://t.co/krho45ucDL,"Amsterdam, The Netherlands",2020-01-28 16:59:06,Tech
thenextweb,UK’s high court orders crypto exchange Bitfinex to dox recipients of $860K in Bitcoin (by @dcanellis) https://t.co/v3YHos06iv,"Amsterdam, The Netherlands",2020-01-28 15:51:06,Tech
thenextweb,Scientists are reengineering viruses to fight antibiotic resistance https://t.co/b4bN2xYEeb,"Amsterdam, The Netherlands",2020-01-28 15:33:06,Tech
thenextweb,Singapore tightens AML restrictions on cryptocurrency companies (by @yessibelloperez) https://t.co/8EDjDuxrkW,"Amsterdam, The Netherlands",2020-01-28 15:31:06,Tech
thenextweb,"The Eve Spectrum is a high-res, stylish gaming monitor at a great price https://t.co/FLcmclMszk","Amsterdam, The Netherlands",2020-01-28 15:18:07,Tech
