user,text,location,date,topic
nasahqphoto,.@NASA and @ESA released the new name of @CopernicusEU #Sentinel6 to extend observations of global sea level change for the next 10 years: Sentinel-6 Michael Freilich! NASA Admin @JimBridenstine &amp; @Dr_ThomasZ were there to help make the announcement! 📷https://t.co/KdKFEi705v https://t.co/O0bhgl3QRk,"Washington, DC",2020-01-28 16:31:43,Photography
nasahqphoto,"Check out pictures from last night's performance of Gustav Holst's ""The Planets"" by @NSOtweets at @TheAnthemDC. 📷- https://t.co/JQrU7qS5DL https://t.co/XjgsJClNej","Washington, DC",2020-01-23 17:19:06,Photography
AP_Magazine,"Struggle with wide-angle scenes? 

EDITING HACK: Here's how to shoot and edit panoramic images in Adobe Camera Raw 👉 https://t.co/3xAViqOXj5 https://t.co/yFgAvxgEOe",London,2020-01-28 21:02:03,Photography
AP_Magazine,"What's the biggest change you've made in your photography?

The power of change 🙌 Tracy Calder talks to three photographers 📷 who embraced change - be it camera systems or their very way of life 👉 https://t.co/5XXJl6gA5o https://t.co/XiFSjEykmb",London,2020-01-28 20:01:01,Photography
AP_Magazine,"INTERVIEW: Music photographer Brian Griffin talks about his eclectic career to date: https://t.co/9sSma1eYKe

His collection of work is seriously impressive! https://t.co/Dj7NR5JMLg",London,2020-01-28 19:08:02,Photography
AP_Magazine,"18 essential wildlife photography accessories: https://t.co/QphRwCYsgX

What's your must have piece of kit? https://t.co/xriSCmsKrU",London,2020-01-28 18:32:03,Photography
AP_Magazine,"""The camera slipped out of my hand… my hard drive broke… and it was then I realised all my kit was halfway down the cliff."" 

24 of the biggest photo disasters from professionals, AP readers, and the AP team 👉 https://t.co/WpUpLdrChW

You may laugh or cry... or both 😂 https://t.co/VK5TR1r6pL",London,2020-01-28 17:06:10,Photography
AP_Magazine,Expert Advice: 6 Professional Photographers Give Their Best Tips For Landscape Photography 👉https://t.co/R36r5bUPxM https://t.co/K1OFMfz8YL,London,2020-01-28 16:06:02,Photography
AP_Magazine,"If you've not used this before you're missing out! 

How to Reduce Noise in your Photos with DxO PhotoLab 2 📸 https://t.co/S8bd52MSwp https://t.co/vox0SgiR9V",London,2020-01-28 15:31:02,Photography
AP_Magazine,"Saving you some 💰💵

We take a look at the best third-party lenses you can buy for your camera 👉 https://t.co/OIXfQvbilK
✅ Samyang ✅ Sigma ✅ Tamron ✅ Tokina https://t.co/mzSM4olWpm",London,2020-01-28 14:03:02,Photography
AP_Magazine,"We LOVE 😍Tony's work – don't you?

INTERVIEW: Tony Sellen talks about his minimalist approach to B&amp;W photography: https://t.co/CKUrSVGtik https://t.co/5JK7eGTm92",London,2020-01-28 13:07:02,Photography
AP_Magazine,"Know your Rembrandt from your clamshell? 

Expert Advice: How to capture the PERFECT headshot 📷 https://t.co/K8VDXjtyJN https://t.co/nwttNKWSSs",London,2020-01-28 12:16:02,Photography
AP_Magazine,"18 essential wildlife photography accessories: https://t.co/QphRwCYsgX

What's your must have piece of kit? https://t.co/68eFGOOcEu",London,2020-01-28 11:04:01,Photography
AP_Magazine,Do you know the value of what's in your kit bag? We take a look at how you can protect your photography kit with the right insurance https://t.co/71Xb8WJnNA https://t.co/9TPDp8BoFP,London,2020-01-28 10:02:01,Photography
AP_Magazine,"Fred Mortagne has taken skateboardings images to the NEXT LEVEL 😳 

We catch up with Fred and discuss location, light and Leica: https://t.co/BlLCzecrUi https://t.co/0w3BvFeE0f",London,2020-01-28 09:02:01,Photography
AP_Magazine,"A second-hand classic: Fujifilm X-T10

We gave in 5-Stars in 2015 – A used Fujifilm X-T10 makes for a very affordable, professional-grade camera https://t.co/LoXJgI6dwo https://t.co/5Zu4VtK5X5",London,2020-01-27 19:41:01,Photography
AP_Magazine,"Think you've got what it takes to be an award-winning photographer?

We're put together the best photography competitions to enter in 2020 📷 https://t.co/W3P4Mv7SK0 https://t.co/8Xk5FhuL9m",London,2020-01-27 18:36:02,Photography
AP_Magazine,"A man who produced some of the best sports photographs in history 

We talk to Neil Leifer about his iconic work: https://t.co/P2StaRBXYp https://t.co/aGaOc8Z0Xr",London,2020-01-27 17:17:04,Photography
AP_Magazine,"Don't put your cameras away when things get chilly ❄️

Here's our guide to capturing luscious landscape photography in bad weather: https://t.co/nNQRsEmeWl https://t.co/3TElCQPkyy",London,2020-01-27 15:07:03,Photography
AP_Magazine,"Taming your tones! 

20 Essential tips on mastering the Lightroom Tone Curve 👉 https://t.co/PYIQeOGRW9

Do you use it? https://t.co/44gRTK9rep",London,2020-01-27 14:32:02,Photography
AP_Magazine,"Stuck indoors? 🥶

Start the new year right by giving your camera a little TLC 🥰 📷

Camera Maintenance: How to clean your camera and equipment 👉 https://t.co/knGiJzGNFp https://t.co/uzqGOoqKjz",London,2020-01-27 13:02:02,Photography
AP_Magazine,"Seasoned pro photographers share their best money saving photo hacks 👉 https://t.co/LsXdzZQco9

What's your best tip? https://t.co/RSgusHY8dC",London,2020-01-27 11:06:01,Photography
AP_Magazine,"Blurry photos happen to the best of us 🤷‍♂️

EXPERT ADVICE: How to ensure you take sharp photographs 📸 https://t.co/TtTHbW16L8 https://t.co/qimJiyB2at",London,2020-01-27 11:03:01,Photography
AP_Magazine,53 Creative Winter Projects to keep you going even on the coldest of days ❄️ https://t.co/zkh8UbNVPS https://t.co/sn0QKLaYI3,London,2020-01-27 10:04:01,Photography
AP_Magazine,"What type of photography cover do you need?

We take a closer look at Ripe Photography insurance and what the best options are for protecting your kit https://t.co/Qn7Uem3C7z https://t.co/e0lu3COPiH",London,2020-01-26 18:12:01,Photography
AP_Magazine,"Best Gloves for Photographers 📸🧤 https://t.co/Db9RxwPHvA

Keep your hands warm and STILL have full control of your camera. We test the best gloves for photographers! https://t.co/8zhRrzn5ft",London,2020-01-26 17:08:02,Photography
AP_Magazine,"Saving you some 💰💵

We take a look at the best third-party lenses you can buy for your camera 👉 https://t.co/OIXfQvbilK
✅ Samyang ✅ Sigma ✅ Tamron ✅ Tokina https://t.co/E8yK68hImE",London,2020-01-26 16:03:02,Photography
AP_Magazine,"👑 The KINGS of the camera world 👑

A selection of the BEST cameras we reviewed in 2019 👉 https://t.co/uouj0Jxc5U

What's your favourite? https://t.co/5Tw2aSILE4",London,2020-01-26 15:04:01,Photography
AP_Magazine,"How about ditching your camera for a scanner?

How to create scanography art: The tricks and techniques https://t.co/5NtuZ5jP4L https://t.co/iLMdRhvbxo",London,2020-01-26 14:33:01,Photography
AP_Magazine,"We LOVE 😍Tony's work – don't you?

INTERVIEW: Tony Sellen talks about his minimalist approach to B&amp;W photography: https://t.co/CKUrSVGtik https://t.co/Y8EcjnM6On",London,2020-01-26 13:07:01,Photography
AP_Magazine,"POWERFUL 🎗

How a National Cancer Campaign was Created with an Old Camera and No Photography Experience 📸 

Full Interview: https://t.co/LLdlVWioDo https://t.co/BCuAaPnTuy",London,2020-01-26 12:32:01,Photography
AP_Magazine,"It's what frosty mornings were made for! ❅⛄️

Expert Advice: How to Photography the Perfect Black and White Winter Landscapes ❄️ https://t.co/aQ8fNtA2TP https://t.co/tQ7NkyznbZ",London,2020-01-26 10:16:02,Photography
AP_Magazine,"18 essential wildlife photography accessories: https://t.co/QphRwCYsgX

What's your must have piece of kit? https://t.co/KWlEiRtg3T",London,2020-01-26 09:04:01,Photography
AP_Magazine,"Don't put your cameras away when things get chilly ❄️

Here's our guide to capturing luscious landscape photography in bad weather: https://t.co/nNQRsEmeWl https://t.co/9j8ulwKe7v",London,2020-01-25 20:07:02,Photography
AP_Magazine,"If you've not used this before you're missing out! 

How to Reduce Noise in your Photos with DxO PhotoLab 2 📸 https://t.co/3FPqKfklPw https://t.co/sTchdPArdo",London,2020-01-25 19:31:01,Photography
AP_Magazine,"📷 Class Glass 📷

Our best lenses we've reviewed in 2019 👉 https://t.co/kHQx5h7dqR

There's SOOO much choice! https://t.co/avXYKnJox2",London,2020-01-25 19:03:02,Photography
AP_Magazine,"Know your Rembrandt from your clamshell? 

Expert Advice: How to capture the PERFECT headshot 📷 https://t.co/K8VDXjtyJN https://t.co/eTRV0V6g1Y",London,2020-01-25 18:14:01,Photography
AP_Magazine,Quick Tip: How to straighten the horizon and simply tone an image using Adobe Camera Raw: https://t.co/y0NyMkWlnc https://t.co/t5rD6ZsW9K,London,2020-01-25 17:09:02,Photography
AP_Magazine,"Skill in the hills 🚵‍♀️📷

AP teamed up with @mpbcom to challenge some of our readers to get some great shots at the Peaks Tour Sportive using a host of different kit

Here's how they got on 👉 https://t.co/F8ikVEheuX https://t.co/H7U7odHri3",London,2020-01-25 16:01:02,Photography
AP_Magazine,How a passionate young photographer created a successful business building INCREDIBLE large format cameras 📸 https://t.co/S52suhpb9n https://t.co/sAgMxWAvO8,London,2020-01-25 15:13:02,Photography
AP_Magazine,"Shutters don't sweat! 

But we have some photography exercises to keep your photos lean in 2020! https://t.co/l1GpUc12Gb https://t.co/qw8o2j94up",London,2020-01-25 14:00:15,Photography
AP_Magazine,"EDITING HACK: Winter Edition! 

Creating a winter wonderland scene in Adobe Photoshop: https://t.co/6Sw86oDfQw https://t.co/1Uml1idbVQ",London,2020-01-25 13:07:01,Photography
AP_Magazine,Expert Advice: 5 Crucial Steps To Shooting Powerful Portraits 👉 https://t.co/ufpFqs5b8L https://t.co/BqFTyoBAgL,London,2020-01-25 11:02:01,Photography
AP_Magazine,PHOTOGRAPHER shoots world-famous landmarks looking in the opposite direction to create these incredible documentary images https://t.co/kMbA2SrZ9x https://t.co/j9L62LU95q,London,2020-01-24 19:37:02,Photography
AP_Magazine,"You've got to try these!  

6 Night Photography Tips For Shooting The Perfect Cityscape: https://t.co/bTrlh9WtJW https://t.co/CMJHS0XVms",London,2020-01-24 17:32:03,Photography
AP_Magazine,Wildlife photographer Chris Weston explains how the decaplines of filmmaking can help tell a photographic story: https://t.co/7QtwsoPcNx https://t.co/JgvL63OW3B,London,2020-01-24 16:09:06,Photography
AP_Magazine,"Rattray Head, Aberdeenshire. 

Fortunato Gatto battled 80mph winds to 
achieve his vision: Read the story behind the image: https://t.co/o7iMmjnQdc https://t.co/DtdaGefAXG",London,2020-01-24 15:04:02,Photography
AP_Magazine,"Taming your tones! 

20 Essential tips on mastering the Lightroom Tone Curve 👉 https://t.co/PYIQeOGRW9

Do you use it? https://t.co/Mi536mBcjw",London,2020-01-24 14:21:02,Photography
AP_Magazine,Expert Advice: 6 Professional Photographers Give Their Best Tips For Landscape Photography 👉https://t.co/R36r5bUPxM https://t.co/zv2NDCg3RA,London,2020-01-24 13:06:01,Photography
AP_Magazine,"Seasoned pro photographers share their best money saving photo hacks 👉 https://t.co/LsXdzZyBwB

What's your best tip? https://t.co/iq7zHtSYMg",London,2020-01-24 12:06:01,Photography
AP_Magazine,INTERVIEW: World-renowned nature photographer Art Wolfe talk to AP about his approach to photography https://t.co/tJrWE5dnum https://t.co/7QcfuidJH0,London,2020-01-24 11:05:03,Photography
AP_Magazine,"Stuck indoors? 🥶

Start the new year right by giving your camera a little TLC 🥰 📷

Camera Maintenance: How to clean your camera and equipment 👉 https://t.co/knGiJzGNFp https://t.co/7Ikz4uZVj7",London,2020-01-24 10:01:01,Photography
AP_Magazine,"Blurry photos happen to the best of us 🤷‍♂️

EXPERT ADVICE: How to ensure you take sharp photographs 📸 https://t.co/TtTHbW16L8 https://t.co/84SFallwPo",London,2020-01-24 09:01:01,Photography
AP_Magazine,"""The ghost"" 😍 

1 of 2 known albino humpback whales in the world

Story behind this award-winning photo 👉 https://t.co/zyZivkkV2Q https://t.co/Ty5i1dZ7PV",London,2020-01-23 19:27:01,Photography
AP_Magazine,"Push yourself and learn something new!

Here are 5 ways to rethink your exposures to make you a better photographer: https://t.co/ehQtLv5lBq https://t.co/g6ODaycPLG",London,2020-01-23 15:14:02,Photography
AP_Magazine,"Fred Mortagne has taken skateboardings images to the NEXT LEVEL 😳 

We catch up with Fred and discuss location, light and Leica: https://t.co/BlLCzecrUi https://t.co/ZVRH4kJq56",London,2020-01-23 13:02:01,Photography
AP_Magazine,"Linda Wisdom, Dave Fieldhouse and Damien Demolder share some of their secrets to capturing stunning street photography: https://t.co/6IfPwuLpCL https://t.co/KMZBkXbde3",London,2020-01-23 12:04:01,Photography
AP_Magazine,"""1. Most of your photographs will suck"" – Read our 10 Commandments of Street Photography: https://t.co/dmBVKS0Bdw https://t.co/nNflPy8BFA",London,2020-01-23 11:32:02,Photography
AP_Magazine,53 Creative Winter Projects to keep you going even on the coldest of days ❄️ https://t.co/zkh8UbNVPS https://t.co/QBkswNC54t,London,2020-01-23 10:06:02,Photography
AP_Magazine,53 Creative Winter Projects to keep you going even on the coldest of days ❄️ https://t.co/zkh8UbNVPS https://t.co/U0n6UmpDbN,London,2020-01-23 09:04:01,Photography
AP_Magazine,"""8. I will… do my editing in a reasonable time frame"" 

😭😭 MUST TRY HARDER! 

https://t.co/LbfUMHS57p",London,2020-01-23 04:16:00,Photography
AP_Magazine,"Taming your tones! 

20 Essential tips on mastering the Lightroom Tone Curve 👉 https://t.co/PYIQeOGRW9

Do you use it? https://t.co/v8PwdK7Xv4",London,2020-01-22 21:32:02,Photography
AP_Magazine,"Best Gloves for Photographers 📸🧤 https://t.co/Db9RxwPHvA

Keep your hands warm and STILL have full control of your camera. We test the best gloves for photographers! https://t.co/Mg1RWHHThE",London,2020-01-22 20:14:02,Photography
AP_Magazine,"Don't put your cameras away when things get chilly ❄️

Here's our guide to capturing luscious landscape photography in bad weather: https://t.co/nNQRsEmeWl https://t.co/RrteUdxMPh",London,2020-01-22 19:07:02,Photography
AP_Magazine,"18 essential wildlife photography accessories: https://t.co/QphRwCYsgX

What's your must have piece of kit? https://t.co/G8uXOUjGmd",London,2020-01-22 17:04:04,Photography
AP_Magazine,"Photo Location Guide: Loch Harport

What to shoot, where to stay and what to pack 👉 https://t.co/t6HG8zTNvr https://t.co/37bmimHZho",London,2020-01-22 16:08:04,Photography
